booking_day,unit_code,zone,room_nights,tariff,site_visits,public_holiday,beds
2024-10-29,U00,zone_0,27,71.22,170,0,18
2024-10-30,U00,zone_0,15,71.3,134,0,18
2024-10-31,U00,zone_0,13,66.28,115,0,18
2024-11-01,U00,zone_0,9,69.84,59,0,18
2024-11-02,U00,zone_0,8,69.91,70,0,18
2024-11-03,U00,zone_0,13,87.96,113,0,18
2024-11-04,U00,zone_0,16,67.5,169,0,18
2024-11-05,U00,zone_0,22,76.11,155,0,18
2024-11-06,U00,zone_0,20,71.99,136,0,18
2024-11-07,U00,zone_0,12,69.55,71,0,18
2024-11-08,U00,zone_0,11,72.0,79,0,18
2024-11-09,U00,zone_0,15,71.76,72,0,18
2024-11-10,U00,zone_0,15,69.84,105,0,18
2024-11-11,U00,zone_0,26,68.78,164,0,18
2024-11-12,U00,zone_0,24,68.17,170,0,18
2024-11-13,U00,zone_0,22,68.11,133,0,18
2024-11-14,U00,zone_0,7,71.37,112,0,18
2024-11-15,U00,zone_0,12,69.42,73,0,18
2024-11-16,U00,zone_0,8,74.72,76,0,18
2024-11-17,U00,zone_0,18,76.76,111,0,18
2024-11-18,U00,zone_0,17,69.73,153,0,18
2024-11-19,U00,zone_0,29,68.54,177,0,18
2024-11-20,U00,zone_0,22,76.47,119,1,18
2024-11-21,U00,zone_0,12,69.65,103,1,18
2024-11-22,U00,zone_0,10,71.03,73,0,18
2024-11-23,U00,zone_0,10,68.11,67,0,18
2024-11-24,U00,zone_0,13,70.65,133,0,18
2024-11-25,U00,zone_0,25,76.34,169,0,18
2024-11-26,U00,zone_0,24,74.39,153,0,18
2024-11-27,U00,zone_0,23,64.65,148,0,18
2024-11-28,U00,zone_0,20,65.83,94,0,18
2024-11-29,U00,zone_0,12,68.0,58,0,18
2024-11-30,U00,zone_0,12,68.52,85,0,18
2024-12-01,U00,zone_0,11,73.44,117,0,18
2024-12-02,U00,zone_0,25,59.56,167,0,18
2024-12-03,U00,zone_0,27,76.32,176,0,18
2024-12-04,U00,zone_0,18,64.37,126,0,18
2024-12-05,U00,zone_0,10,75.09,95,0,18
2024-12-06,U00,zone_0,11,63.83,72,0,18
2024-12-07,U00,zone_0,14,68.99,79,0,18
2024-12-08,U00,zone_0,20,74.24,89,0,18
2024-12-09,U00,zone_0,19,70.18,147,0,18
2024-12-10,U00,zone_0,24,75.73,168,0,18
2024-12-11,U00,zone_0,17,82.3,119,0,18
2024-12-12,U00,zone_0,17,67.46,107,0,18
2024-12-13,U00,zone_0,9,65.23,81,0,18
2024-12-14,U00,zone_0,8,64.28,84,0,18
2024-12-15,U00,zone_0,11,62.63,120,0,18
2024-12-16,U00,zone_0,24,68.66,144,0,18
2024-12-17,U00,zone_0,14,62.17,179,0,18
2024-12-18,U00,zone_0,19,57.01,171,0,18
2024-12-19,U00,zone_0,17,66.82,76,0,18
2024-12-20,U00,zone_0,11,77.87,69,0,18
2024-12-21,U00,zone_0,14,71.29,74,0,18
2024-12-22,U00,zone_0,14,63.67,139,0,18
2024-12-23,U00,zone_0,22,65.67,147,0,18
2024-12-24,U00,zone_0,23,73.93,153,0,18
2024-12-25,U00,zone_0,18,70.99,125,0,18
2024-12-26,U00,zone_0,13,67.96,92,0,18
2024-12-27,U00,zone_0,9,75.47,65,0,18
2024-12-28,U00,zone_0,12,71.44,66,0,18
2024-12-29,U00,zone_0,18,68.06,108,0,18
2024-12-30,U00,zone_0,21,69.96,142,1,18
2024-12-31,U00,zone_0,23,71.5,163,1,18
2025-01-01,U00,zone_0,20,76.23,111,0,18
2025-01-02,U00,zone_0,12,64.67,101,0,18
2025-01-03,U00,zone_0,8,69.31,67,0,18
2025-01-04,U00,zone_0,9,68.55,72,0,18
2025-01-05,U00,zone_0,13,60.15,143,0,18
2025-01-06,U00,zone_0,23,66.68,159,0,18
2025-01-07,U00,zone_0,20,62.11,157,0,18
2025-01-08,U00,zone_0,23,70.5,119,0,18
2025-01-09,U00,zone_0,12,69.0,102,0,18
2025-01-10,U00,zone_0,12,71.36,71,0,18
2025-01-11,U00,zone_0,16,71.21,71,0,18
2025-01-12,U00,zone_0,22,62.05,121,0,18
2025-01-13,U00,zone_0,23,69.86,146,0,18
2025-01-14,U00,zone_0,20,72.12,150,0,18
2025-01-15,U00,zone_0,26,74.5,120,0,18
2025-01-16,U00,zone_0,13,70.02,92,0,18
2025-01-17,U00,zone_0,6,66.99,64,0,18
2025-01-18,U00,zone_0,3,71.09,76,0,18
2025-01-19,U00,zone_0,13,76.46,105,0,18
2025-01-20,U00,zone_0,24,71.07,138,0,18
2025-01-21,U00,zone_0,31,61.65,167,0,18
2025-01-22,U00,zone_0,16,72.35,119,0,18
2025-01-23,U00,zone_0,11,70.13,96,0,18
2025-01-24,U00,zone_0,15,70.0,72,0,18
2025-01-25,U00,zone_0,20,67.89,66,0,18
2025-01-26,U00,zone_0,19,70.12,101,0,18
2025-01-27,U00,zone_0,14,70.41,131,0,18
2025-01-28,U00,zone_0,32,62.91,180,0,18
2025-01-29,U00,zone_0,15,73.85,127,0,18
2025-01-30,U00,zone_0,16,68.49,91,0,18
2025-01-31,U00,zone_0,10,69.28,61,0,18
2025-02-01,U00,zone_0,16,68.01,80,0,18
2025-02-02,U00,zone_0,18,76.89,111,0,18
2025-02-03,U00,zone_0,14,74.94,122,0,18
2025-02-04,U00,zone_0,19,77.13,134,0,18
2025-02-05,U00,zone_0,18,68.42,120,0,18
2025-02-06,U00,zone_0,15,63.19,93,0,18
2025-02-07,U00,zone_0,9,68.5,61,0,18
2025-02-08,U00,zone_0,9,75.42,68,1,18
2025-02-09,U00,zone_0,15,76.08,113,1,18
2025-02-10,U00,zone_0,22,65.72,134,0,18
2025-02-11,U00,zone_0,16,76.13,165,0,18
2025-02-12,U00,zone_0,20,62.92,130,0,18
2025-02-13,U00,zone_0,21,69.41,87,0,18
2025-02-14,U00,zone_0,15,70.44,56,0,18
2025-02-15,U00,zone_0,15,77.19,66,0,18
2025-02-16,U00,zone_0,16,60.71,134,0,18
2025-02-17,U00,zone_0,19,62.66,146,0,18
2025-02-18,U00,zone_0,17,58.6,151,0,18
2025-02-19,U00,zone_0,16,64.94,138,0,18
2025-02-20,U00,zone_0,20,59.88,85,0,18
2025-02-21,U00,zone_0,9,71.69,57,0,18
2025-02-22,U00,zone_0,13,64.04,71,0,18
2025-02-23,U00,zone_0,11,66.36,94,0,18
2025-02-24,U00,zone_0,19,79.88,140,0,18
2025-02-25,U00,zone_0,15,72.09,131,0,18
2025-02-26,U00,zone_0,15,67.04,116,0,18
2025-02-27,U00,zone_0,16,72.38,77,0,18
2025-02-28,U00,zone_0,13,72.83,53,0,18
2025-03-01,U00,zone_0,10,75.62,64,0,18
2025-03-02,U00,zone_0,16,66.14,94,0,18
2025-03-03,U00,zone_0,8,71.06,123,0,18
2025-03-04,U00,zone_0,21,69.73,116,0,18
2025-03-05,U00,zone_0,19,69.31,122,0,18
2025-03-06,U00,zone_0,11,67.67,80,0,18
2025-03-07,U00,zone_0,8,73.87,49,0,18
2025-03-08,U00,zone_0,7,73.45,69,0,18
2025-03-09,U00,zone_0,9,62.06,106,0,18
2025-03-10,U00,zone_0,13,66.29,136,0,18
2025-03-11,U00,zone_0,23,69.29,143,0,18
2025-03-12,U00,zone_0,18,73.74,113,0,18
2025-03-13,U00,zone_0,12,70.98,82,0,18
2025-03-14,U00,zone_0,7,74.09,55,0,18
2025-03-15,U00,zone_0,8,68.88,52,0,18
2025-03-16,U00,zone_0,9,67.26,109,0,18
2025-03-17,U00,zone_0,15,70.79,126,0,18
2025-03-18,U00,zone_0,19,76.43,122,0,18
2025-03-19,U00,zone_0,18,66.61,121,0,18
2025-03-20,U00,zone_0,10,67.92,60,1,18
2025-03-21,U00,zone_0,8,66.33,62,1,18
2025-03-22,U00,zone_0,15,69.32,76,0,18
2025-03-23,U00,zone_0,13,74.62,75,0,18
2025-03-24,U00,zone_0,19,69.85,132,0,18
2025-03-25,U00,zone_0,21,68.97,120,0,18
2025-03-26,U00,zone_0,11,67.96,98,0,18
2025-03-27,U00,zone_0,9,63.95,77,0,18
2025-03-28,U00,zone_0,11,68.5,53,0,18
2025-03-29,U00,zone_0,8,55.9,56,0,18
2025-03-30,U00,zone_0,18,71.02,95,0,18
2025-03-31,U00,zone_0,19,66.98,110,0,18
2025-04-01,U00,zone_0,12,72.39,109,0,18
2025-04-02,U00,zone_0,10,69.99,113,0,18
2025-04-03,U00,zone_0,5,69.62,83,0,18
2025-04-04,U00,zone_0,8,65.77,66,0,18
2025-04-05,U00,zone_0,6,74.43,60,0,18
2025-04-06,U00,zone_0,9,74.21,78,0,18
2025-04-07,U00,zone_0,15,63.56,116,0,18
2025-04-08,U00,zone_0,17,70.44,104,0,18
2025-04-09,U00,zone_0,25,77.35,115,0,18
2025-04-10,U00,zone_0,12,70.77,69,0,18
2025-04-11,U00,zone_0,9,65.25,67,0,18
2025-04-12,U00,zone_0,13,60.68,68,0,18
2025-04-13,U00,zone_0,11,76.59,68,0,18
2025-04-14,U00,zone_0,10,63.35,109,0,18
2025-04-15,U00,zone_0,27,60.07,133,0,18
2025-04-16,U00,zone_0,20,74.95,101,0,18
2025-04-17,U00,zone_0,11,72.65,65,0,18
2025-04-18,U00,zone_0,7,70.06,57,0,18
2025-04-19,U00,zone_0,7,71.7,59,0,18
2025-04-20,U00,zone_0,15,69.33,80,0,18
2025-04-21,U00,zone_0,19,72.24,109,0,18
2025-04-22,U00,zone_0,24,70.17,131,0,18
2025-04-23,U00,zone_0,16,70.82,109,0,18
2025-04-24,U00,zone_0,5,69.95,64,0,18
2025-04-25,U00,zone_0,9,72.51,45,0,18
2025-04-26,U00,zone_0,8,66.5,67,0,18
2025-04-27,U00,zone_0,17,70.69,87,0,18
2025-04-28,U00,zone_0,12,61.3,136,0,18
2025-04-29,U00,zone_0,17,67.73,118,1,18
2025-04-30,U00,zone_0,15,75.75,82,1,18
2025-05-01,U00,zone_0,13,69.28,62,0,18
2025-05-02,U00,zone_0,6,67.11,60,0,18
2025-05-03,U00,zone_0,5,68.06,58,0,18
2025-05-04,U00,zone_0,6,73.27,87,0,18
2025-05-05,U00,zone_0,13,65.98,117,0,18
2025-05-06,U00,zone_0,19,78.21,92,0,18
2025-05-07,U00,zone_0,9,70.17,78,0,18
2025-05-08,U00,zone_0,15,71.8,65,0,18
2025-05-09,U00,zone_0,4,80.49,30,0,18
2025-05-10,U00,zone_0,8,79.84,42,0,18
2025-05-11,U00,zone_0,12,67.39,89,0,18
2025-05-12,U00,zone_0,17,66.65,108,0,18
2025-05-13,U00,zone_0,16,68.33,102,0,18
2025-05-14,U00,zone_0,18,70.77,101,0,18
2025-05-15,U00,zone_0,9,75.68,41,0,18
2025-05-16,U00,zone_0,7,66.12,42,0,18
2025-05-17,U00,zone_0,8,70.03,47,0,18
2025-05-18,U00,zone_0,13,63.69,103,0,18
2025-05-19,U00,zone_0,13,76.93,76,0,18
2025-05-20,U00,zone_0,10,75.98,108,0,18
2025-05-21,U00,zone_0,6,58.61,101,0,18
2025-05-22,U00,zone_0,10,70.92,58,0,18
2025-05-23,U00,zone_0,4,68.73,43,0,18
2025-05-24,U00,zone_0,12,70.71,54,0,18
2025-05-25,U00,zone_0,17,71.14,74,0,18
2025-05-26,U00,zone_0,19,69.78,123,0,18
2025-05-27,U00,zone_0,15,72.23,101,0,18
2025-05-28,U00,zone_0,11,68.85,82,0,18
2025-05-29,U00,zone_0,6,76.33,66,0,18
2025-05-30,U00,zone_0,12,75.0,60,0,18
2025-05-31,U00,zone_0,5,58.22,57,0,18
2025-06-01,U00,zone_0,16,74.86,74,0,18
2025-06-02,U00,zone_0,13,70.38,109,0,18
2025-06-03,U00,zone_0,16,64.08,115,0,18
2025-06-04,U00,zone_0,15,68.03,115,0,18
2025-06-05,U00,zone_0,9,71.75,56,0,18
2025-06-06,U00,zone_0,6,75.48,33,0,18
2025-06-07,U00,zone_0,5,75.98,45,0,18
2025-06-08,U00,zone_0,11,67.98,78,1,18
2025-06-09,U00,zone_0,18,69.0,124,1,18
2025-06-10,U00,zone_0,21,75.57,72,0,18
2025-06-11,U00,zone_0,13,70.43,84,0,18
2025-06-12,U00,zone_0,7,68.06,57,0,18
2025-06-13,U00,zone_0,10,59.65,48,0,18
2025-06-14,U00,zone_0,4,72.79,42,0,18
2025-06-15,U00,zone_0,9,71.58,84,0,18
2025-06-16,U00,zone_0,12,67.97,112,0,18
2025-06-17,U00,zone_0,14,69.79,129,0,18
2025-06-18,U00,zone_0,22,62.09,109,0,18
2025-06-19,U00,zone_0,4,72.31,69,0,18
2025-06-20,U00,zone_0,4,76.7,50,0,18
2025-06-21,U00,zone_0,8,75.26,53,0,18
2025-06-22,U00,zone_0,8,65.42,84,0,18
2025-06-23,U00,zone_0,15,66.29,104,0,18
2025-06-24,U00,zone_0,15,67.16,118,0,18
2025-06-25,U00,zone_0,16,67.68,106,0,18
2025-06-26,U00,zone_0,11,72.27,52,0,18
2025-06-27,U00,zone_0,8,74.26,48,0,18
2025-06-28,U00,zone_0,9,65.99,58,0,18
2025-06-29,U00,zone_0,10,67.46,87,0,18
2025-06-30,U00,zone_0,17,63.81,114,0,18
2025-07-01,U00,zone_0,17,81.68,81,0,18
2025-07-02,U00,zone_0,16,64.23,106,0,18
2025-07-03,U00,zone_0,11,76.68,56,0,18
2025-07-04,U00,zone_0,15,71.38,48,0,18
2025-07-05,U00,zone_0,6,71.88,66,0,18
2025-07-06,U00,zone_0,11,72.49,86,0,18
2025-07-07,U00,zone_0,15,66.25,118,0,18
2025-07-08,U00,zone_0,13,74.69,104,0,18
2025-07-09,U00,zone_0,14,62.39,110,0,18
2025-07-10,U00,zone_0,10,68.33,67,0,18
2025-07-11,U00,zone_0,4,75.95,40,0,18
2025-07-12,U00,zone_0,8,71.09,70,0,18
2025-07-13,U00,zone_0,16,63.82,89,0,18
2025-07-14,U00,zone_0,15,66.41,122,0,18
2025-07-15,U00,zone_0,17,66.78,121,0,18
2025-07-16,U00,zone_0,9,78.6,87,0,18
2025-07-17,U00,zone_0,8,69.85,68,0,18
2025-07-18,U00,zone_0,7,70.08,52,1,18
2025-07-19,U00,zone_0,11,73.18,58,1,18
2025-07-20,U00,zone_0,13,75.54,78,0,18
2025-07-21,U00,zone_0,16,69.63,123,0,18
2025-07-22,U00,zone_0,13,71.02,130,0,18
2025-07-23,U00,zone_0,18,64.95,113,0,18
2025-07-24,U00,zone_0,14,70.25,73,0,18
2025-07-25,U00,zone_0,9,60.79,49,0,18
2025-07-26,U00,zone_0,7,72.03,44,0,18
2025-07-27,U00,zone_0,8,73.61,76,0,18
2025-07-28,U00,zone_0,14,65.06,118,0,18
2025-07-29,U00,zone_0,17,67.15,131,0,18
2025-07-30,U00,zone_0,18,66.7,111,0,18
2025-07-31,U00,zone_0,10,62.23,80,0,18
2025-08-01,U00,zone_0,4,74.54,42,0,18
2025-08-02,U00,zone_0,5,65.94,62,0,18
2025-08-03,U00,zone_0,11,62.9,94,0,18
2025-08-04,U00,zone_0,9,67.44,125,0,18
2025-08-05,U00,zone_0,14,73.06,142,0,18
2025-08-06,U00,zone_0,16,66.71,115,0,18
2025-08-07,U00,zone_0,10,71.56,84,0,18
2025-08-08,U00,zone_0,10,69.34,62,0,18
2025-08-09,U00,zone_0,8,69.33,63,0,18
2025-08-10,U00,zone_0,11,70.38,81,0,18
2025-08-11,U00,zone_0,8,75.93,105,0,18
2025-08-12,U00,zone_0,22,76.05,125,0,18
2025-08-13,U00,zone_0,16,74.25,117,0,18
2025-08-14,U00,zone_0,7,70.68,79,0,18
2025-08-15,U00,zone_0,8,67.75,62,0,18
2025-08-16,U00,zone_0,7,65.81,71,0,18
2025-08-17,U00,zone_0,17,79.39,85,0,18
2025-08-18,U00,zone_0,15,74.99,111,0,18
2025-08-19,U00,zone_0,14,69.23,142,0,18
2025-08-20,U00,zone_0,19,72.41,100,0,18
2025-08-21,U00,zone_0,7,71.71,53,0,18
2025-08-22,U00,zone_0,8,77.76,43,0,18
2025-08-23,U00,zone_0,12,77.34,50,0,18
2025-08-24,U00,zone_0,18,59.1,125,0,18
2025-08-25,U00,zone_0,20,75.32,112,0,18
2025-08-26,U00,zone_0,14,68.53,147,0,18
2025-08-27,U00,zone_0,19,70.1,116,1,18
2025-08-28,U00,zone_0,11,64.65,94,1,18
2025-08-29,U00,zone_0,12,67.27,55,0,18
2025-08-30,U00,zone_0,10,67.94,63,0,18
2025-08-31,U00,zone_0,15,72.89,67,0,18
2025-09-01,U00,zone_0,26,66.11,139,0,18
2025-09-02,U00,zone_0,20,61.67,157,0,18
2025-09-03,U00,zone_0,22,69.31,103,0,18
2025-09-04,U00,zone_0,10,67.71,71,0,18
2025-09-05,U00,zone_0,7,67.41,69,0,18
2025-09-06,U00,zone_0,8,71.5,76,0,18
2025-09-07,U00,zone_0,24,61.89,133,0,18
2025-09-08,U00,zone_0,21,60.37,165,0,18
2025-09-09,U00,zone_0,19,70.6,143,0,18
2025-09-10,U00,zone_0,12,72.04,123,0,18
2025-09-11,U00,zone_0,18,74.58,75,0,18
2025-09-12,U00,zone_0,4,71.12,63,0,18
2025-09-13,U00,zone_0,6,76.37,54,0,18
2025-09-14,U00,zone_0,11,67.01,114,0,18
2025-09-15,U00,zone_0,19,78.3,121,0,18
2025-09-16,U00,zone_0,24,77.96,142,0,18
2025-09-17,U00,zone_0,22,71.33,109,0,18
2025-09-18,U00,zone_0,4,69.7,73,0,18
2025-09-19,U00,zone_0,14,66.28,68,0,18
2025-09-20,U00,zone_0,9,71.15,76,0,18
2025-09-21,U00,zone_0,23,67.1,98,0,18
2025-09-22,U00,zone_0,27,71.99,138,0,18
2025-09-23,U00,zone_0,18,76.23,153,0,18
2025-09-24,U00,zone_0,14,73.29,105,0,18
2025-09-25,U00,zone_0,11,62.8,92,0,18
2025-09-26,U00,zone_0,11,63.2,59,0,18
2025-09-27,U00,zone_0,5,76.48,70,0,18
2025-09-28,U00,zone_0,12,72.93,103,0,18
2025-09-29,U00,zone_0,17,76.93,124,0,18
2025-09-30,U00,zone_0,24,81.52,127,0,18
2025-10-01,U00,zone_0,12,70.15,140,0,18
2025-10-02,U00,zone_0,10,70.63,92,0,18
2025-10-03,U00,zone_0,15,65.45,74,0,18
2025-10-04,U00,zone_0,13,74.64,64,0,18
2025-10-05,U00,zone_0,16,63.05,118,0,18
2025-10-06,U00,zone_0,20,67.51,154,1,18
2025-10-07,U00,zone_0,20,65.66,163,1,18
2025-10-08,U00,zone_0,15,61.15,139,0,18
2025-10-09,U00,zone_0,12,66.03,84,0,18
2025-10-10,U00,zone_0,11,73.92,54,0,18
2025-10-11,U00,zone_0,9,76.43,63,0,18
2025-10-12,U00,zone_0,18,75.34,104,0,18
2025-10-13,U00,zone_0,22,69.66,146,0,18
2025-10-14,U00,zone_0,21,74.54,131,0,18
2025-10-15,U00,zone_0,20,69.24,128,0,18
2025-10-16,U00,zone_0,10,74.38,79,0,18
2025-10-17,U00,zone_0,7,67.35,63,0,18
2025-10-18,U00,zone_0,11,65.77,73,0,18
2025-10-19,U00,zone_0,19,68.91,124,0,18
2025-10-20,U00,zone_0,21,74.65,145,0,18
2025-10-21,U00,zone_0,22,79.05,132,0,18
2025-10-22,U00,zone_0,19,74.24,124,0,18
2025-10-23,U00,zone_0,20,58.59,113,0,18
2025-10-24,U00,zone_0,16,71.99,63,0,18
2025-10-25,U00,zone_0,8,67.87,81,0,18
2024-09-01,U01,zone_1,13,82.43,124,1,19
2024-09-02,U01,zone_1,30,68.23,158,1,19
2024-09-03,U01,zone_1,32,70.16,136,0,19
2024-09-04,U01,zone_1,16,66.71,127,0,19
2024-09-05,U01,zone_1,17,75.45,74,0,19
2024-09-06,U01,zone_1,8,63.11,79,0,19
2024-09-07,U01,zone_1,12,73.36,78,0,19
2024-09-08,U01,zone_1,22,67.25,153,0,19
2024-09-09,U01,zone_1,28,61.56,187,0,19
2024-09-10,U01,zone_1,20,72.39,137,0,19
2024-09-11,U01,zone_1,20,57.58,171,0,19
2024-09-12,U01,zone_1,8,71.07,92,0,19
2024-09-13,U01,zone_1,9,69.49,78,0,19
2024-09-14,U01,zone_1,4,73.64,81,0,19
2024-09-15,U01,zone_1,25,63.86,168,0,19
2024-09-16,U01,zone_1,22,70.56,165,0,19
2024-09-17,U01,zone_1,26,72.0,183,0,19
2024-09-18,U01,zone_1,21,74.76,130,0,19
2024-09-19,U01,zone_1,18,70.92,95,0,19
2024-09-20,U01,zone_1,15,59.87,90,0,19
2024-09-21,U01,zone_1,12,70.15,84,0,19
2024-09-22,U01,zone_1,21,78.35,145,0,19
2024-09-23,U01,zone_1,26,64.95,179,0,19
2024-09-24,U01,zone_1,27,60.97,186,0,19
2024-09-25,U01,zone_1,20,64.69,161,0,19
2024-09-26,U01,zone_1,7,60.75,100,0,19
2024-09-27,U01,zone_1,10,67.79,85,0,19
2024-09-28,U01,zone_1,13,74.36,96,0,19
2024-09-29,U01,zone_1,21,64.71,138,0,19
2024-09-30,U01,zone_1,23,63.42,196,0,19
2024-10-01,U01,zone_1,23,64.09,206,0,19
2024-10-02,U01,zone_1,24,68.71,137,0,19
2024-10-03,U01,zone_1,10,73.15,97,0,19
2024-10-04,U01,zone_1,6,73.49,61,0,19
2024-10-05,U01,zone_1,23,69.88,107,0,19
2024-10-06,U01,zone_1,25,64.01,158,0,19
2024-10-07,U01,zone_1,33,69.25,165,0,19
2024-10-08,U01,zone_1,24,65.7,164,0,19
2024-10-09,U01,zone_1,16,71.8,145,0,19
2024-10-10,U01,zone_1,9,73.81,93,0,19
2024-10-11,U01,zone_1,7,67.32,79,1,19
2024-10-12,U01,zone_1,14,61.54,108,1,19
2024-10-13,U01,zone_1,17,72.75,141,0,19
2024-10-14,U01,zone_1,29,68.61,184,0,19
2024-10-15,U01,zone_1,17,64.84,198,0,19
2024-10-16,U01,zone_1,30,68.87,155,0,19
2024-10-17,U01,zone_1,15,70.79,86,0,19
2024-10-18,U01,zone_1,9,67.89,77,0,19
2024-10-19,U01,zone_1,10,90.55,87,0,19
2024-10-20,U01,zone_1,17,74.66,143,0,19
2024-10-21,U01,zone_1,39,67.67,194,0,19
2024-10-22,U01,zone_1,18,72.35,187,0,19
2024-10-23,U01,zone_1,10,73.05,138,0,19
2024-10-24,U01,zone_1,12,69.63,102,0,19
2024-10-25,U01,zone_1,10,62.12,96,0,19
2024-10-26,U01,zone_1,19,65.45,86,0,19
2024-10-27,U01,zone_1,14,72.29,175,0,19
2024-10-28,U01,zone_1,18,74.19,173,0,19
2024-10-29,U01,zone_1,16,74.8,175,0,19
2024-10-30,U01,zone_1,18,70.14,152,0,19
2024-10-31,U01,zone_1,10,69.0,119,0,19
2024-11-01,U01,zone_1,15,79.09,77,0,19
2024-11-02,U01,zone_1,18,67.19,100,0,19
2024-11-03,U01,zone_1,24,62.68,171,0,19
2024-11-04,U01,zone_1,32,69.32,193,0,19
2024-11-05,U01,zone_1,33,70.49,164,0,19
2024-11-06,U01,zone_1,18,68.91,167,0,19
2024-11-07,U01,zone_1,12,65.58,126,0,19
2024-11-08,U01,zone_1,14,69.89,79,0,19
2024-11-09,U01,zone_1,19,67.37,138,0,19
2024-11-10,U01,zone_1,24,78.93,150,0,19
2024-11-11,U01,zone_1,32,68.0,210,0,19
2024-11-12,U01,zone_1,23,70.28,190,0,19
2024-11-13,U01,zone_1,23,61.45,165,0,19
2024-11-14,U01,zone_1,25,69.88,89,0,19
2024-11-15,U01,zone_1,11,67.09,82,0,19
2024-11-16,U01,zone_1,18,66.13,100,0,19
2024-11-17,U01,zone_1,16,74.42,150,0,19
2024-11-18,U01,zone_1,32,73.37,179,0,19
2024-11-19,U01,zone_1,30,67.33,185,0,19
2024-11-20,U01,zone_1,23,77.71,139,1,19
2024-11-21,U01,zone_1,17,76.31,97,1,19
2024-11-22,U01,zone_1,12,79.35,72,0,19
2024-11-23,U01,zone_1,24,66.27,117,0,19
2024-11-24,U01,zone_1,21,63.34,167,0,19
2024-11-25,U01,zone_1,31,70.08,196,0,19
2024-11-26,U01,zone_1,33,69.27,203,0,19
2024-11-27,U01,zone_1,29,71.11,160,0,19
2024-11-28,U01,zone_1,18,66.39,108,0,19
2024-11-29,U01,zone_1,14,65.36,89,0,19
2024-11-30,U01,zone_1,18,74.58,123,0,19
2024-12-01,U01,zone_1,24,75.92,160,0,19
2024-12-02,U01,zone_1,29,72.6,211,0,19
2024-12-03,U01,zone_1,28,67.01,204,0,19
2024-12-04,U01,zone_1,22,63.77,190,0,19
