city_code,city,province,checkin,observed_so_far,predicted_demand,predicted_remaining
2168,abrisham,isfahan,2025-12-01,1,2,1
2168,abrisham,isfahan,2025-12-02,0,0,0
2168,abrisham,isfahan,2025-12-03,0,1,1
2168,abrisham,isfahan,2025-12-04,0,1,1
2168,abrisham,isfahan,2025-12-05,0,0,0
2168,abrisham,isfahan,2025-12-06,0,1,1
2168,abrisham,isfahan,2025-12-07,0,1,1
2168,abrisham,isfahan,2025-12-08,0,1,1
2168,abrisham,isfahan,2025-12-09,0,1,1
2168,abrisham,isfahan,2025-12-10,0,1,1
2168,abrisham,isfahan,2025-12-11,0,2,2
2168,abrisham,isfahan,2025-12-12,0,1,1
2168,abrisham,isfahan,2025-12-13,0,1,1
2168,abrisham,isfahan,2025-12-14,0,1,1
2168,abrisham,isfahan,2025-12-15,1,3,2
2168,abrisham,isfahan,2025-12-16,0,2,2
2168,abrisham,isfahan,2025-12-17,0,2,2
2168,abrisham,isfahan,2025-12-18,0,2,2
2168,abrisham,isfahan,2025-12-19,0,2,2
2168,abrisham,isfahan,2025-12-20,0,2,2
2168,abrisham,isfahan,2025-12-21,0,1,1
9899,absard,tehran,2025-11-22,14,16,2
9899,absard,tehran,2025-11-23,13,19,6
9899,absard,tehran,2025-11-24,8,15,7
9899,absard,tehran,2025-11-25,10,21,11
9899,absard,tehran,2025-11-26,6,21,15
9899,absard,tehran,2025-11-27,19,74,55
9899,absard,tehran,2025-11-28,6,21,15
9899,absard,tehran,2025-11-29,6,15,9
9899,absard,tehran,2025-11-30,5,16,11
9899,absard,tehran,2025-12-01,7,20,13
9899,absard,tehran,2025-12-02,5,19,14
9899,absard,tehran,2025-12-03,10,37,27
9899,absard,tehran,2025-12-04,18,149,131
9899,absard,tehran,2025-12-05,2,25,23
9899,absard,tehran,2025-12-06,1,21,20
9899,absard,tehran,2025-12-07,1,22,21
9899,absard,tehran,2025-12-08,1,20,19
9899,absard,tehran,2025-12-09,2,21,19
9899,absard,tehran,2025-12-10,1,33,32
9899,absard,tehran,2025-12-11,8,149,141
9899,absard,tehran,2025-12-12,1,29,28
9899,absard,tehran,2025-12-13,1,20,19
9899,absard,tehran,2025-12-14,1,20,19
9899,absard,tehran,2025-12-15,1,25,24
9899,absard,tehran,2025-12-16,1,26,25
9899,absard,tehran,2025-12-17,2,45,43
9899,absard,tehran,2025-12-18,2,117,115
9899,absard,tehran,2025-12-19,1,33,32
9899,absard,tehran,2025-12-20,1,21,20
9899,absard,tehran,2025-12-21,4,19,15
1524,abu_musa,hormozgan,2025-11-22,11,11,0
1524,abu_musa,hormozgan,2025-11-23,11,11,0
1524,abu_musa,hormozgan,2025-11-24,11,12,1
1524,abu_musa,hormozgan,2025-11-25,13,14,1
1524,abu_musa,hormozgan,2025-11-26,11,13,2
1524,abu_musa,hormozgan,2025-11-27,7,8,1
1524,abu_musa,hormozgan,2025-11-28,3,4,1
1524,abu_musa,hormozgan,2025-11-29,2,3,1
1524,abu_musa,hormozgan,2025-11-30,7,9,2
1524,abu_musa,hormozgan,2025-12-01,3,5,2
1524,abu_musa,hormozgan,2025-12-02,1,3,2
1524,abu_musa,hormozgan,2025-12-03,4,7,3
1524,abu_musa,hormozgan,2025-12-04,3,6,3
1524,abu_musa,hormozgan,2025-12-05,0,0,0
1524,abu_musa,hormozgan,2025-12-06,0,0,0
1524,abu_musa,hormozgan,2025-12-07,0,0,0
1524,abu_musa,hormozgan,2025-12-08,0,0,0
1524,abu_musa,hormozgan,2025-12-09,0,0,0
1524,abu_musa,hormozgan,2025-12-10,3,7,4
1524,abu_musa,hormozgan,2025-12-11,1,3,2
1524,abu_musa,hormozgan,2025-12-12,0,0,0
1524,abu_musa,hormozgan,2025-12-13,0,0,0
1524,abu_musa,hormozgan,2025-12-14,1,4,3
1524,abu_musa,hormozgan,2025-12-15,2,8,6
1524,abu_musa,hormozgan,2025-12-16,3,9,6
1524,abu_musa,hormozgan,2025-12-17,3,10,7
1524,abu_musa,hormozgan,2025-12-18,2,8,6
1524,abu_musa,hormozgan,2025-12-19,1,4,3
1524,abu_musa,hormozgan,2025-12-20,0,0,0
1524,abu_musa,hormozgan,2025-12-21,0,0,0
8695,abyaneh,isfahan,2025-11-22,33,37,4
8695,abyaneh,isfahan,2025-11-23,58,72,14
8695,abyaneh,isfahan,2025-11-24,48,62,14
8695,abyaneh,isfahan,2025-11-25,45,62,17
8695,abyaneh,isfahan,2025-11-26,53,97,44
8695,abyaneh,isfahan,2025-11-27,51,132,81
8695,abyaneh,isfahan,2025-11-28,2,18,16
8695,abyaneh,isfahan,2025-11-29,2,17,15
8695,abyaneh,isfahan,2025-11-30,8,25,17
8695,abyaneh,isfahan,2025-12-01,4,26,22
8695,abyaneh,isfahan,2025-12-02,10,32,22
8695,abyaneh,isfahan,2025-12-03,14,51,37
8695,abyaneh,isfahan,2025-12-04,23,153,130
8695,abyaneh,isfahan,2025-12-05,8,33,25
8695,abyaneh,isfahan,2025-12-06,7,37,30
8695,abyaneh,isfahan,2025-12-07,5,32,27
8695,abyaneh,isfahan,2025-12-08,4,31,27
8695,abyaneh,isfahan,2025-12-09,5,36,31
8695,abyaneh,isfahan,2025-12-10,3,52,49
8695,abyaneh,isfahan,2025-12-11,3,135,132
8695,abyaneh,isfahan,2025-12-12,0,30,30
8695,abyaneh,isfahan,2025-12-13,1,29,28
8695,abyaneh,isfahan,2025-12-14,8,32,24
8695,abyaneh,isfahan,2025-12-15,0,34,34
8695,abyaneh,isfahan,2025-12-16,1,40,39
8695,abyaneh,isfahan,2025-12-17,0,59,59
8695,abyaneh,isfahan,2025-12-18,7,122,115
8695,abyaneh,isfahan,2025-12-19,1,40,39
8695,abyaneh,isfahan,2025-12-20,3,34,31
8695,abyaneh,isfahan,2025-12-21,0,21,21
7896,ahmadabade_mostowfi,tehran,2025-11-22,14,17,3
7896,ahmadabade_mostowfi,tehran,2025-11-23,17,24,7
7896,ahmadabade_mostowfi,tehran,2025-11-24,12,22,10
7896,ahmadabade_mostowfi,tehran,2025-11-25,21,34,13
7896,ahmadabade_mostowfi,tehran,2025-11-26,17,31,14
7896,ahmadabade_mostowfi,tehran,2025-11-27,64,118,54
7896,ahmadabade_mostowfi,tehran,2025-11-28,6,21,15
7896,ahmadabade_mostowfi,tehran,2025-11-29,5,17,12
7896,ahmadabade_mostowfi,tehran,2025-11-30,7,20,13
7896,ahmadabade_mostowfi,tehran,2025-12-01,5,20,15
7896,ahmadabade_mostowfi,tehran,2025-12-02,6,21,15
7896,ahmadabade_mostowfi,tehran,2025-12-03,6,25,19
7896,ahmadabade_mostowfi,tehran,2025-12-04,26,117,91
7896,ahmadabade_mostowfi,tehran,2025-12-05,3,24,21
7896,ahmadabade_mostowfi,tehran,2025-12-06,10,29,19
7896,ahmadabade_mostowfi,tehran,2025-12-07,9,29,20
7896,ahmadabade_mostowfi,tehran,2025-12-08,3,21,18
7896,ahmadabade_mostowfi,tehran,2025-12-09,3,22,19
7896,ahmadabade_mostowfi,tehran,2025-12-10,3,26,23
7896,ahmadabade_mostowfi,tehran,2025-12-11,13,102,89
7896,ahmadabade_mostowfi,tehran,2025-12-12,4,31,27
7896,ahmadabade_mostowfi,tehran,2025-12-13,3,23,20
7896,ahmadabade_mostowfi,tehran,2025-12-14,3,22,19
7896,ahmadabade_mostowfi,tehran,2025-12-15,3,27,24
7896,ahmadabade_mostowfi,tehran,2025-12-16,3,27,24
7896,ahmadabade_mostowfi,tehran,2025-12-17,3,30,27
7896,ahmadabade_mostowfi,tehran,2025-12-18,20,98,78
7896,ahmadabade_mostowfi,tehran,2025-12-19,1,30,29
7896,ahmadabade_mostowfi,tehran,2025-12-20,1,21,20
7896,ahmadabade_mostowfi,tehran,2025-12-21,3,20,17
4541,ahmadsargoorab,gilan,2025-11-22,0,0,0
4541,ahmadsargoorab,gilan,2025-11-23,0,0,0
4541,ahmadsargoorab,gilan,2025-11-24,2,2,0
4541,ahmadsargoorab,gilan,2025-11-25,3,3,0
4541,ahmadsargoorab,gilan,2025-11-26,1,2,1
4541,ahmadsargoorab,gilan,2025-11-27,1,3,2
4541,ahmadsargoorab,gilan,2025-11-28,0,0,0
4541,ahmadsargoorab,gilan,2025-11-29,0,0,0
4541,ahmadsargoorab,gilan,2025-11-30,0,0,0
4541,ahmadsargoorab,gilan,2025-12-01,0,0,0
4541,ahmadsargoorab,gilan,2025-12-02,2,2,0
4541,ahmadsargoorab,gilan,2025-12-03,0,1,1
4541,ahmadsargoorab,gilan,2025-12-04,0,2,2
4541,ahmadsargoorab,gilan,2025-12-05,0,0,0
4541,ahmadsargoorab,gilan,2025-12-06,0,1,1
4541,ahmadsargoorab,gilan,2025-12-07,0,0,0
4541,ahmadsargoorab,gilan,2025-12-08,0,0,0
4541,ahmadsargoorab,gilan,2025-12-09,2,3,1
4541,ahmadsargoorab,gilan,2025-12-10,0,1,1
4541,ahmadsargoorab,gilan,2025-12-11,0,1,1
4541,ahmadsargoorab,gilan,2025-12-12,0,0,0
4541,ahmadsargoorab,gilan,2025-12-13,0,0,0
4541,ahmadsargoorab,gilan,2025-12-14,0,0,0
4541,ahmadsargoorab,gilan,2025-12-15,0,0,0
4541,ahmadsargoorab,gilan,2025-12-16,0,0,0
4541,ahmadsargoorab,gilan,2025-12-17,0,1,1
4541,ahmadsargoorab,gilan,2025-12-18,0,1,1
4541,ahmadsargoorab,gilan,2025-12-19,0,1,1
4541,ahmadsargoorab,gilan,2025-12-20,0,0,0
4541,ahmadsargoorab,gilan,2025-12-21,0,0,0
3933,alasht,mazandaran,2025-11-22,52,56,4
3933,alasht,mazandaran,2025-11-23,43,52,9
3933,alasht,mazandaran,2025-11-24,17,25,8
3933,alasht,mazandaran,2025-11-25,16,26,10
3933,alasht,mazandaran,2025-11-26,19,40,21
3933,alasht,mazandaran,2025-11-27,26,93,67
3933,alasht,mazandaran,2025-11-28,0,10,10
3933,alasht,mazandaran,2025-11-29,1,10,9
3933,alasht,mazandaran,2025-11-30,3,16,13
3933,alasht,mazandaran,2025-12-01,5,16,11
3933,alasht,mazandaran,2025-12-02,2,16,14
3933,alasht,mazandaran,2025-12-03,16,49,33
3933,alasht,mazandaran,2025-12-04,17,142,125
3933,alasht,mazandaran,2025-12-05,3,24,21
3933,alasht,mazandaran,2025-12-06,7,24,17
3933,alasht,mazandaran,2025-12-07,6,22,16
3933,alasht,mazandaran,2025-12-08,2,19,17
3933,alasht,mazandaran,2025-12-09,3,21,18
3933,alasht,mazandaran,2025-12-10,6,37,31
3933,alasht,mazandaran,2025-12-11,10,131,121
3933,alasht,mazandaran,2025-12-12,2,22,20
3933,alasht,mazandaran,2025-12-13,1,17,16
3933,alasht,mazandaran,2025-12-14,1,16,15
3933,alasht,mazandaran,2025-12-15,1,17,16
3933,alasht,mazandaran,2025-12-16,2,21,19
3933,alasht,mazandaran,2025-12-17,8,51,43
3933,alasht,mazandaran,2025-12-18,8,99,91
3933,alasht,mazandaran,2025-12-19,1,25,24
3933,alasht,mazandaran,2025-12-20,1,17,16
3933,alasht,mazandaran,2025-12-21,0,12,12
1297,alavijeh,isfahan,2025-11-22,0,0,0
1297,alavijeh,isfahan,2025-11-23,0,0,0
1297,alavijeh,isfahan,2025-11-24,0,0,0
1297,alavijeh,isfahan,2025-11-25,0,0,0
1297,alavijeh,isfahan,2025-11-26,1,1,0
1297,alavijeh,isfahan,2025-11-27,1,2,1
1297,alavijeh,isfahan,2025-11-28,0,0,0
1297,alavijeh,isfahan,2025-11-29,0,0,0
1297,alavijeh,isfahan,2025-11-30,0,0,0
1297,alavijeh,isfahan,2025-12-01,0,0,0
1297,alavijeh,isfahan,2025-12-02,0,0,0
1297,alavijeh,isfahan,2025-12-03,0,0,0
1297,alavijeh,isfahan,2025-12-04,0,0,0
1297,alavijeh,isfahan,2025-12-05,0,0,0
1297,alavijeh,isfahan,2025-12-06,0,0,0
1297,alavijeh,isfahan,2025-12-07,0,0,0
1297,alavijeh,isfahan,2025-12-08,0,0,0
1297,alavijeh,isfahan,2025-12-09,0,0,0
1297,alavijeh,isfahan,2025-12-10,0,0,0
1297,alavijeh,isfahan,2025-12-11,0,1,1
1297,alavijeh,isfahan,2025-12-12,0,0,0
1297,alavijeh,isfahan,2025-12-13,0,0,0
1297,alavijeh,isfahan,2025-12-14,0,0,0
1297,alavijeh,isfahan,2025-12-15,0,0,0
1297,alavijeh,isfahan,2025-12-16,0,0,0
1297,alavijeh,isfahan,2025-12-17,0,0,0
1297,alavijeh,isfahan,2025-12-18,0,1,1
1297,alavijeh,isfahan,2025-12-19,0,0,0
1297,alavijeh,isfahan,2025-12-20,0,0,0
1297,alavijeh,isfahan,2025-12-21,0,0,0
2894,amirkola,mazandaran,2025-11-22,0,0,0
2894,amirkola,mazandaran,2025-11-23,0,0,0
2894,amirkola,mazandaran,2025-11-24,0,0,0
2894,amirkola,mazandaran,2025-11-25,0,0,0
2894,amirkola,mazandaran,2025-11-26,0,0,0
2894,amirkola,mazandaran,2025-11-27,0,0,0
2894,amirkola,mazandaran,2025-11-28,0,0,0
2894,amirkola,mazandaran,2025-11-29,0,0,0
2894,amirkola,mazandaran,2025-11-30,0,0,0
2894,amirkola,mazandaran,2025-12-01,0,0,0
2894,amirkola,mazandaran,2025-12-02,0,0,0
2894,amirkola,mazandaran,2025-12-03,0,0,0
2894,amirkola,mazandaran,2025-12-04,0,0,0
2894,amirkola,mazandaran,2025-12-05,0,0,0
2894,amirkola,mazandaran,2025-12-06,0,0,0
2894,amirkola,mazandaran,2025-12-07,0,0,0
2894,amirkola,mazandaran,2025-12-08,0,0,0
2894,amirkola,mazandaran,2025-12-09,0,0,0
2894,amirkola,mazandaran,2025-12-10,0,0,0
2894,amirkola,mazandaran,2025-12-11,0,0,0
2894,amirkola,mazandaran,2025-12-12,0,0,0
2894,amirkola,mazandaran,2025-12-13,0,0,0
2894,amirkola,mazandaran,2025-12-14,0,0,0
2894,amirkola,mazandaran,2025-12-15,0,0,0
2894,amirkola,mazandaran,2025-12-16,0,0,0
2894,amirkola,mazandaran,2025-12-17,0,0,0
2894,amirkola,mazandaran,2025-12-18,0,0,0
2894,amirkola,mazandaran,2025-12-19,0,0,0
2894,amirkola,mazandaran,2025-12-20,0,0,0
2894,amirkola,mazandaran,2025-12-21,0,0,0
5947,amlash,gilan,2025-11-22,137,154,17
5947,amlash,gilan,2025-11-23,97,124,27
5947,amlash,gilan,2025-11-24,91,127,36
5947,amlash,gilan,2025-11-25,89,139,50
5947,amlash,gilan,2025-11-26,133,232,99
5947,amlash,gilan,2025-11-27,91,218,127
5947,amlash,gilan,2025-11-28,20,50,30
5947,amlash,gilan,2025-11-29,17,46,29
5947,amlash,gilan,2025-11-30,17,54,37
5947,amlash,gilan,2025-12-01,16,51,35
5947,amlash,gilan,2025-12-02,21,69,48
5947,amlash,gilan,2025-12-03,31,120,89
5947,amlash,gilan,2025-12-04,17,174,157
5947,amlash,gilan,2025-12-05,10,55,45
5947,amlash,gilan,2025-12-06,12,64,52
5947,amlash,gilan,2025-12-07,12,60,48
5947,amlash,gilan,2025-12-08,14,62,48
5947,amlash,gilan,2025-12-09,10,60,50
5947,amlash,gilan,2025-12-10,14,95,81
5947,amlash,gilan,2025-12-11,17,198,181
5947,amlash,gilan,2025-12-12,8,63,55
5947,amlash,gilan,2025-12-13,0,38,38
5947,amlash,gilan,2025-12-14,1,37,36
5947,amlash,gilan,2025-12-15,6,52,46
5947,amlash,gilan,2025-12-16,3,56,53
5947,amlash,gilan,2025-12-17,0,70,70
5947,amlash,gilan,2025-12-18,4,131,127
5947,amlash,gilan,2025-12-19,0,52,52
5947,amlash,gilan,2025-12-20,0,39,39
5947,amlash,gilan,2025-12-21,0,26,26
2195,amol,mazandaran,2025-11-22,618,736,118
2195,amol,mazandaran,2025-11-23,540,762,222
2195,amol,mazandaran,2025-11-24,406,661,255
2195,amol,mazandaran,2025-11-25,339,679,340
2195,amol,mazandaran,2025-11-26,439,1057,618
2195,amol,mazandaran,2025-11-27,489,1393,904
2195,amol,mazandaran,2025-11-28,130,481,351
2195,amol,mazandaran,2025-11-29,153,454,301
2195,amol,mazandaran,2025-11-30,119,461,342
2195,amol,mazandaran,2025-12-01,98,421,323
2195,amol,mazandaran,2025-12-02,103,483,380
2195,amol,mazandaran,2025-12-03,136,720,584
2195,amol,mazandaran,2025-12-04,143,1243,1100
2195,amol,mazandaran,2025-12-05,77,584,507
2195,amol,mazandaran,2025-12-06,96,455,359
2195,amol,mazandaran,2025-12-07,104,498,394
2195,amol,mazandaran,2025-12-08,122,542,420
2195,amol,mazandaran,2025-12-09,90,485,395
2195,amol,mazandaran,2025-12-10,96,687,591
2195,amol,mazandaran,2025-12-11,79,1220,1141
2195,amol,mazandaran,2025-12-12,61,518,457
2195,amol,mazandaran,2025-12-13,73,446,373
2195,amol,mazandaran,2025-12-14,41,358,317
2195,amol,mazandaran,2025-12-15,40,416,376
2195,amol,mazandaran,2025-12-16,39,458,419
2195,amol,mazandaran,2025-12-17,45,632,587
2195,amol,mazandaran,2025-12-18,41,918,877
2195,amol,mazandaran,2025-12-19,23,521,498
2195,amol,mazandaran,2025-12-20,20,396,376
2195,amol,mazandaran,2025-12-21,28,299,271
6197,anarak,isfahan,2025-11-22,4,4,0
6197,anarak,isfahan,2025-11-23,4,4,0
6197,anarak,isfahan,2025-11-24,0,0,0
6197,anarak,isfahan,2025-11-25,4,4,0
6197,anarak,isfahan,2025-11-26,0,0,0
6197,anarak,isfahan,2025-11-27,0,0,0
6197,anarak,isfahan,2025-11-28,0,0,0
6197,anarak,isfahan,2025-11-29,0,0,0
6197,anarak,isfahan,2025-11-30,0,0,0
6197,anarak,isfahan,2025-12-01,0,0,0
6197,anarak,isfahan,2025-12-02,0,0,0
6197,anarak,isfahan,2025-12-03,0,0,0
6197,anarak,isfahan,2025-12-04,1,3,2
6197,anarak,isfahan,2025-12-05,0,0,0
6197,anarak,isfahan,2025-12-06,0,0,0
6197,anarak,isfahan,2025-12-07,0,0,0
6197,anarak,isfahan,2025-12-08,0,0,0
6197,anarak,isfahan,2025-12-09,0,0,0
6197,anarak,isfahan,2025-12-10,0,0,0
6197,anarak,isfahan,2025-12-11,0,0,0
6197,anarak,isfahan,2025-12-12,0,0,0
6197,anarak,isfahan,2025-12-13,0,0,0
6197,anarak,isfahan,2025-12-14,0,0,0
6197,anarak,isfahan,2025-12-15,0,0,0
6197,anarak,isfahan,2025-12-16,0,0,0
6197,anarak,isfahan,2025-12-17,0,0,0
6197,anarak,isfahan,2025-12-18,0,0,0
6197,anarak,isfahan,2025-12-19,0,0,0
6197,anarak,isfahan,2025-12-20,0,0,0
6197,anarak,isfahan,2025-12-21,0,0,0
3312,andisheh,tehran,2025-11-22,41,51,10
3312,andisheh,tehran,2025-11-23,43,64,21
3312,andisheh,tehran,2025-11-24,28,51,23
3312,andisheh,tehran,2025-11-25,21,44,23
3312,andisheh,tehran,2025-11-26,23,55,32
3312,andisheh,tehran,2025-11-27,25,75,50
3312,andisheh,tehran,2025-11-28,14,42,28
3312,andisheh,tehran,2025-11-29,11,39,28
3312,andisheh,tehran,2025-11-30,17,54,37
3312,andisheh,tehran,2025-12-01,10,42,32
3312,andisheh,tehran,2025-12-02,8,43,35
3312,andisheh,tehran,2025-12-03,7,42,35
3312,andisheh,tehran,2025-12-04,8,70,62
3312,andisheh,tehran,2025-12-05,9,54,45
3312,andisheh,tehran,2025-12-06,12,62,50
3312,andisheh,tehran,2025-12-07,8,54,46
3312,andisheh,tehran,2025-12-08,8,53,45
3312,andisheh,tehran,2025-12-09,7,54,47
3312,andisheh,tehran,2025-12-10,6,54,48
3312,andisheh,tehran,2025-12-11,12,115,103
3312,andisheh,tehran,2025-12-12,12,67,55
3312,andisheh,tehran,2025-12-13,12,67,55
3312,andisheh,tehran,2025-12-14,4,53,49
3312,andisheh,tehran,2025-12-15,6,64,58
3312,andisheh,tehran,2025-12-16,6,65,59
3312,andisheh,tehran,2025-12-17,4,63,59
3312,andisheh,tehran,2025-12-18,6,92,86
3312,andisheh,tehran,2025-12-19,3,61,58
3312,andisheh,tehran,2025-12-20,2,54,52
3312,andisheh,tehran,2025-12-21,0,43,43
4397,aran_va_bidgol,isfahan,2025-11-22,6,6,0
4397,aran_va_bidgol,isfahan,2025-11-23,6,8,2
4397,aran_va_bidgol,isfahan,2025-11-24,1,3,2
4397,aran_va_bidgol,isfahan,2025-11-25,1,3,2
4397,aran_va_bidgol,isfahan,2025-11-26,3,9,6
4397,aran_va_bidgol,isfahan,2025-11-27,9,23,14
4397,aran_va_bidgol,isfahan,2025-11-28,4,8,4
4397,aran_va_bidgol,isfahan,2025-11-29,0,4,4
4397,aran_va_bidgol,isfahan,2025-11-30,0,4,4
4397,aran_va_bidgol,isfahan,2025-12-01,1,6,5
4397,aran_va_bidgol,isfahan,2025-12-02,0,5,5
4397,aran_va_bidgol,isfahan,2025-12-03,2,10,8
4397,aran_va_bidgol,isfahan,2025-12-04,4,30,26
4397,aran_va_bidgol,isfahan,2025-12-05,4,12,8
4397,aran_va_bidgol,isfahan,2025-12-06,0,8,8
4397,aran_va_bidgol,isfahan,2025-12-07,0,6,6
4397,aran_va_bidgol,isfahan,2025-12-08,0,7,7
4397,aran_va_bidgol,isfahan,2025-12-09,0,7,7
4397,aran_va_bidgol,isfahan,2025-12-10,5,22,17
4397,aran_va_bidgol,isfahan,2025-12-11,0,35,35
4397,aran_va_bidgol,isfahan,2025-12-12,0,9,9
4397,aran_va_bidgol,isfahan,2025-12-13,0,7,7
4397,aran_va_bidgol,isfahan,2025-12-14,0,7,7
4397,aran_va_bidgol,isfahan,2025-12-15,0,9,9
4397,aran_va_bidgol,isfahan,2025-12-16,0,10,10
4397,aran_va_bidgol,isfahan,2025-12-17,0,17,17
4397,aran_va_bidgol,isfahan,2025-12-18,2,40,38
4397,aran_va_bidgol,isfahan,2025-12-19,0,11,11
4397,aran_va_bidgol,isfahan,2025-12-20,0,8,8
4397,aran_va_bidgol,isfahan,2025-12-21,0,6,6
1986,ardestan,isfahan,2025-11-22,4,6,2
1986,ardestan,isfahan,2025-11-23,15,20,5
1986,ardestan,isfahan,2025-11-24,8,13,5
1986,ardestan,isfahan,2025-11-25,5,10,5
1986,ardestan,isfahan,2025-11-26,4,13,9
1986,ardestan,isfahan,2025-11-27,3,14,11
1986,ardestan,isfahan,2025-11-28,0,4,4
1986,ardestan,isfahan,2025-11-29,0,4,4
