cluster_code,checkin,raw_predicted_demand,calibrated_predicted_demand,calibration_delta
1053,2025-12-10,405,433,28
1053,2025-12-11,862,925,63
1053,2025-12-12,322,345,23
1053,2025-12-13,261,281,20
1053,2025-12-14,238,256,18
1053,2025-12-15,262,282,20
1053,2025-12-16,282,303,21
1053,2025-12-17,429,462,33
1053,2025-12-18,570,615,45
1053,2025-12-19,302,326,24
1053,2025-12-20,300,324,24
1053,2025-12-21,225,243,18
1054,2025-11-22,20,20,0
1054,2025-11-23,24,24,0
1054,2025-11-24,6,6,0
1054,2025-11-25,8,8,0
1054,2025-11-26,7,7,0
1054,2025-11-27,8,8,0
1054,2025-11-28,3,3,0
1054,2025-11-29,2,3,1
1054,2025-11-30,3,3,0
1054,2025-12-01,3,4,1
1054,2025-12-02,4,4,0
1054,2025-12-03,10,11,1
1054,2025-12-04,10,12,2
1054,2025-12-05,4,4,0
1054,2025-12-06,4,5,1
1054,2025-12-07,4,4,0
1054,2025-12-08,3,4,1
1054,2025-12-09,6,6,0
1054,2025-12-10,7,8,1
1054,2025-12-11,18,19,1
1054,2025-12-12,5,5,0
1054,2025-12-13,4,4,0
1054,2025-12-14,3,4,1
1054,2025-12-15,5,5,0
1054,2025-12-16,6,6,0
1054,2025-12-17,7,7,0
1054,2025-12-18,12,13,1
1054,2025-12-19,6,7,1
1054,2025-12-20,4,4,0
1054,2025-12-21,3,3,0
1120,2025-11-22,19,19,0
1120,2025-11-23,22,22,0
1120,2025-11-24,15,15,0
1120,2025-11-25,13,13,0
1120,2025-11-26,19,19,0
1120,2025-11-27,77,77,0
1120,2025-11-28,19,19,0
1120,2025-11-29,9,10,1
1120,2025-11-30,14,15,1
1120,2025-12-01,14,16,2
1120,2025-12-02,19,20,1
1120,2025-12-03,13,15,2
1120,2025-12-04,62,68,6
1120,2025-12-05,23,25,2
1120,2025-12-06,15,16,1
1120,2025-12-07,14,15,1
1120,2025-12-08,15,16,1
1120,2025-12-09,17,18,1
1120,2025-12-10,18,20,2
1120,2025-12-11,59,63,4
1120,2025-12-12,21,23,2
1120,2025-12-13,16,17,1
1120,2025-12-14,14,15,1
1120,2025-12-15,18,20,2
1120,2025-12-16,21,22,1
1120,2025-12-17,21,22,1
1120,2025-12-18,49,53,4
1120,2025-12-19,25,27,2
1120,2025-12-20,17,18,1
1120,2025-12-21,13,14,1
1156,2025-11-22,0,0,0
1156,2025-11-23,0,0,0
1156,2025-11-24,0,0,0
1156,2025-11-25,0,0,0
1156,2025-11-26,0,0,0
1156,2025-11-27,0,0,0
1156,2025-11-28,0,0,0
1156,2025-11-29,0,0,0
1156,2025-11-30,0,0,0
1156,2025-12-01,0,0,0
1156,2025-12-02,0,0,0
1156,2025-12-03,0,0,0
1156,2025-12-04,0,0,0
1156,2025-12-05,0,0,0
1156,2025-12-06,0,0,0
1156,2025-12-07,0,0,0
1156,2025-12-08,0,0,0
1156,2025-12-09,0,0,0
1156,2025-12-10,0,0,0
1156,2025-12-11,0,0,0
1156,2025-12-12,0,0,0
1156,2025-12-13,0,0,0
1156,2025-12-14,0,0,0
1156,2025-12-15,0,0,0
1156,2025-12-16,0,0,0
1156,2025-12-17,0,0,0
1156,2025-12-18,0,0,0
1156,2025-12-19,0,0,0
1156,2025-12-20,0,0,0
1156,2025-12-21,0,0,0
1173,2025-11-22,0,0,0
1173,2025-11-23,0,0,0
1173,2025-11-24,8,8,0
1173,2025-11-25,3,3,0
1173,2025-11-26,1,1,0
1173,2025-11-27,7,7,0
1173,2025-11-28,0,0,0
1173,2025-11-29,0,0,0
1173,2025-11-30,1,1,0
1173,2025-12-01,1,1,0
1173,2025-12-02,1,1,0
1173,2025-12-03,2,2,0
1173,2025-12-04,6,7,1
1173,2025-12-05,1,1,0
1173,2025-12-06,1,1,0
1173,2025-12-07,1,1,0
1173,2025-12-08,1,1,0
1173,2025-12-09,1,1,0
1173,2025-12-10,2,2,0
1173,2025-12-11,9,10,1
1173,2025-12-12,1,1,0
1173,2025-12-13,1,1,0
1173,2025-12-14,1,1,0
1173,2025-12-15,1,2,1
1173,2025-12-16,2,2,0
1173,2025-12-17,3,3,0
1173,2025-12-18,7,7,0
1173,2025-12-19,2,2,0
1173,2025-12-20,1,2,1
1173,2025-12-21,1,1,0
1177,2025-11-22,42,42,0
1177,2025-11-23,59,59,0
1177,2025-11-24,45,45,0
1177,2025-11-25,43,43,0
1177,2025-11-26,82,82,0
1177,2025-11-27,130,130,0
1177,2025-11-28,20,20,0
1177,2025-11-29,10,11,1
1177,2025-11-30,16,18,2
1177,2025-12-01,19,20,1
1177,2025-12-02,25,27,2
1177,2025-12-03,41,45,4
1177,2025-12-04,117,128,11
1177,2025-12-05,23,25,2
1177,2025-12-06,25,27,2
1177,2025-12-07,24,25,1
1177,2025-12-08,21,23,2
1177,2025-12-09,22,24,2
1177,2025-12-10,31,33,2
1177,2025-12-11,105,113,8
1177,2025-12-12,25,27,2
1177,2025-12-13,19,20,1
1177,2025-12-14,17,19,2
1177,2025-12-15,21,23,2
1177,2025-12-16,23,25,2
1177,2025-12-17,47,51,4
1177,2025-12-18,87,93,6
1177,2025-12-19,34,36,2
1177,2025-12-20,21,23,2
1177,2025-12-21,16,17,1
1183,2025-11-22,37183,37183,0
1183,2025-11-23,37760,37760,0
1183,2025-11-24,37313,37313,0
1183,2025-11-25,35821,35821,0
1183,2025-11-26,42184,42184,0
1183,2025-11-27,49881,49881,0
1183,2025-11-28,29268,29268,0
1183,2025-11-29,30893,32850,1957
1183,2025-11-30,30649,32612,1963
1183,2025-12-01,31982,34133,2151
1183,2025-12-02,32068,34247,2179
1183,2025-12-03,38432,41237,2805
1183,2025-12-04,52155,56268,4113
1183,2025-12-05,37345,40250,2905
1183,2025-12-06,35033,37015,1982
1183,2025-12-07,33673,35567,1894
1183,2025-12-08,36372,38490,2118
1183,2025-12-09,36788,38943,2155
1183,2025-12-10,43523,46162,2639
1183,2025-12-11,50277,53375,3098
1183,2025-12-12,35525,37678,2153
1183,2025-12-13,35572,37876,2304
1183,2025-12-14,34471,36707,2236
1183,2025-12-15,35612,37954,2342
1183,2025-12-16,35550,37895,2345
1183,2025-12-17,40190,42900,2710
1183,2025-12-18,49932,53407,3475
1183,2025-12-19,33405,35675,2270
1183,2025-12-20,33001,35239,2238
1183,2025-12-21,27286,29254,1968
1209,2025-11-22,0,0,0
1209,2025-11-23,1,1,0
1209,2025-11-24,0,0,0
1209,2025-11-25,0,0,0
1209,2025-11-26,0,0,0
1209,2025-11-27,6,6,0
1209,2025-11-28,0,0,0
1209,2025-11-29,0,0,0
1209,2025-11-30,0,0,0
1209,2025-12-01,3,3,0
1209,2025-12-02,3,3,0
1209,2025-12-03,0,0,0
1209,2025-12-04,0,0,0
1209,2025-12-05,0,0,0
1209,2025-12-06,4,5,1
1209,2025-12-07,5,5,0
1209,2025-12-08,5,5,0
1209,2025-12-09,4,5,1
1209,2025-12-10,5,5,0
1209,2025-12-11,6,6,0
1209,2025-12-12,4,4,0
1209,2025-12-13,4,4,0
1209,2025-12-14,4,4,0
1209,2025-12-15,5,5,0
1209,2025-12-16,5,5,0
1209,2025-12-17,5,5,0
1209,2025-12-18,6,6,0
1209,2025-12-19,0,0,0
1209,2025-12-20,0,0,0
1209,2025-12-21,0,0,0
1224,2025-11-22,22,22,0
1224,2025-11-23,20,20,0
1224,2025-11-24,19,19,0
1224,2025-11-25,12,12,0
1224,2025-11-26,27,27,0
1224,2025-11-27,42,42,0
1224,2025-11-28,21,21,0
1224,2025-11-29,18,20,2
1224,2025-11-30,21,23,2
1224,2025-12-01,23,25,2
1224,2025-12-02,26,28,2
1224,2025-12-03,30,31,1
1224,2025-12-04,46,49,3
1224,2025-12-05,28,30,2
1224,2025-12-06,23,25,2
1224,2025-12-07,26,28,2
1224,2025-12-08,25,27,2
1224,2025-12-09,25,27,2
1224,2025-12-10,27,29,2
1224,2025-12-11,57,61,4
1224,2025-12-12,25,27,2
1224,2025-12-13,26,28,2
1224,2025-12-14,25,27,2
1224,2025-12-15,30,32,2
1224,2025-12-16,29,31,2
1224,2025-12-17,31,33,2
1224,2025-12-18,49,53,4
1224,2025-12-19,30,32,2
1224,2025-12-20,28,30,2
1224,2025-12-21,22,23,1
1239,2025-11-22,5,5,0
1239,2025-11-23,7,7,0
1239,2025-11-24,10,10,0
1239,2025-11-25,10,10,0
1239,2025-11-26,12,12,0
1239,2025-11-27,16,16,0
1239,2025-11-28,8,8,0
1239,2025-11-29,8,9,1
1239,2025-11-30,8,9,1
1239,2025-12-01,9,10,1
1239,2025-12-02,7,8,1
1239,2025-12-03,8,8,0
1239,2025-12-04,17,19,2
1239,2025-12-05,8,9,1
1239,2025-12-06,8,8,0
1239,2025-12-07,8,8,0
1239,2025-12-08,8,8,0
1239,2025-12-09,8,9,1
1239,2025-12-10,11,12,1
1239,2025-12-11,19,20,1
1239,2025-12-12,8,9,1
1239,2025-12-13,8,9,1
1239,2025-12-14,8,8,0
1239,2025-12-15,9,10,1
1239,2025-12-16,10,10,0
1239,2025-12-17,10,10,0
1239,2025-12-18,16,17,1
1239,2025-12-19,9,9,0
1239,2025-12-20,8,9,1
1239,2025-12-21,7,8,1
1265,2025-11-22,43,43,0
1265,2025-11-23,43,43,0
1265,2025-11-24,44,44,0
1265,2025-11-25,48,48,0
1265,2025-11-26,48,48,0
1265,2025-11-27,58,58,0
1265,2025-11-28,19,19,0
1265,2025-11-29,31,34,3
1265,2025-11-30,43,46,3
1265,2025-12-01,49,52,3
1265,2025-12-02,54,57,3
1265,2025-12-03,58,61,3
1265,2025-12-04,80,85,5
1265,2025-12-05,46,48,2
1265,2025-12-06,50,53,3
1265,2025-12-07,42,44,2
1265,2025-12-08,46,49,3
1265,2025-12-09,56,58,2
1265,2025-12-10,56,59,3
1265,2025-12-11,58,61,3
1265,2025-12-12,35,37,2
1265,2025-12-13,50,53,3
1265,2025-12-14,45,47,2
1265,2025-12-15,49,52,3
1265,2025-12-16,50,54,4
1265,2025-12-17,48,51,3
1265,2025-12-18,50,53,3
1265,2025-12-19,34,36,2
1265,2025-12-20,46,49,3
1265,2025-12-21,40,42,2
1297,2025-11-22,0,0,0
1297,2025-11-23,0,0,0
1297,2025-11-24,0,0,0
1297,2025-11-25,0,0,0
1297,2025-11-26,1,1,0
1297,2025-11-27,2,2,0
1297,2025-11-28,0,0,0
1297,2025-11-29,0,0,0
1297,2025-11-30,0,0,0
1297,2025-12-01,0,0,0
1297,2025-12-02,0,0,0
1297,2025-12-03,0,0,0
1297,2025-12-04,0,0,0
1297,2025-12-05,0,0,0
1297,2025-12-06,0,0,0
1297,2025-12-07,0,0,0
1297,2025-12-08,0,0,0
1297,2025-12-09,0,0,0
1297,2025-12-10,0,0,0
1297,2025-12-11,1,1,0
1297,2025-12-12,0,0,0
1297,2025-12-13,0,0,0
1297,2025-12-14,0,0,0
1297,2025-12-15,0,0,0
1297,2025-12-16,0,1,1
1297,2025-12-17,0,1,1
1297,2025-12-18,1,1,0
1297,2025-12-19,0,0,0
1297,2025-12-20,0,0,0
1297,2025-12-21,0,0,0
1299,2025-11-22,163,163,0
1299,2025-11-23,398,398,0
1299,2025-11-24,155,155,0
1299,2025-11-25,207,207,0
1299,2025-11-26,323,323,0
1299,2025-11-27,1288,1288,0
1299,2025-11-28,198,198,0
1299,2025-11-29,186,198,12
1299,2025-11-30,194,207,13
1299,2025-12-01,201,215,14
1299,2025-12-02,164,177,13
1299,2025-12-03,369,400,31
1299,2025-12-04,921,1005,84
1299,2025-12-05,269,292,23
1299,2025-12-06,189,199,10
1299,2025-12-07,168,177,9
1299,2025-12-08,264,279,15
1299,2025-12-09,290,307,17
1299,2025-12-10,305,324,19
1299,2025-12-11,960,1028,68
1299,2025-12-12,267,285,18
1299,2025-12-13,197,210,13
1299,2025-12-14,168,179,11
1299,2025-12-15,177,190,13
1299,2025-12-16,231,247,16
1299,2025-12-17,354,380,26
1299,2025-12-18,954,1026,72
1299,2025-12-19,277,298,21
1299,2025-12-20,232,247,15
1299,2025-12-21,182,196,14
1307,2025-11-22,1,1,0
1307,2025-11-23,0,0,0
1307,2025-11-24,0,0,0
1307,2025-11-25,0,0,0
1307,2025-11-26,0,0,0
1307,2025-11-27,0,0,0
1307,2025-11-28,0,0,0
1307,2025-11-29,0,0,0
1307,2025-11-30,0,0,0
1307,2025-12-01,0,0,0
1307,2025-12-02,0,0,0
1307,2025-12-03,0,0,0
1307,2025-12-04,0,0,0
1307,2025-12-05,0,0,0
1307,2025-12-06,0,0,0
1307,2025-12-07,0,0,0
1307,2025-12-08,0,0,0
1307,2025-12-09,0,0,0
1307,2025-12-10,0,0,0
1307,2025-12-11,0,0,0
1307,2025-12-12,0,0,0
1307,2025-12-13,0,0,0
1307,2025-12-14,0,0,0
1307,2025-12-15,0,0,0
1307,2025-12-16,0,0,0
1307,2025-12-17,0,0,0
1307,2025-12-18,0,0,0
1307,2025-12-19,0,0,0
1307,2025-12-20,0,0,0
1307,2025-12-21,0,0,0
1317,2025-11-22,31,31,0
1317,2025-11-23,22,22,0
1317,2025-11-24,29,29,0
1317,2025-11-25,22,22,0
1317,2025-11-26,28,28,0
1317,2025-11-27,22,22,0
1317,2025-11-28,4,4,0
1317,2025-11-29,4,4,0
1317,2025-11-30,5,5,0
1317,2025-12-01,5,5,0
1317,2025-12-02,11,12,1
1317,2025-12-03,25,27,2
1317,2025-12-04,45,50,5
1317,2025-12-05,6,7,1
1317,2025-12-06,9,9,0
1317,2025-12-07,8,8,0
1317,2025-12-08,8,9,1
1317,2025-12-09,11,11,0
1317,2025-12-10,15,16,1
1317,2025-12-11,30,33,3
1317,2025-12-12,8,8,0
1317,2025-12-13,7,7,0
1317,2025-12-14,6,7,1
1317,2025-12-15,12,12,0
1317,2025-12-16,12,13,1
1317,2025-12-17,18,20,2
1317,2025-12-18,26,28,2
1317,2025-12-19,10,11,1
1317,2025-12-20,8,8,0
1317,2025-12-21,5,6,1
1370,2025-11-22,0,0,0
1370,2025-11-23,0,0,0
1370,2025-11-24,0,0,0
1370,2025-11-25,0,0,0
1370,2025-11-26,0,0,0
1370,2025-11-27,0,0,0
1370,2025-11-28,0,0,0
1370,2025-11-29,0,0,0
1370,2025-11-30,0,0,0
1370,2025-12-01,0,0,0
1370,2025-12-02,0,0,0
1370,2025-12-03,0,0,0
1370,2025-12-04,0,0,0
1370,2025-12-05,0,0,0
1370,2025-12-06,0,0,0
1370,2025-12-07,0,0,0
1370,2025-12-08,0,0,0
1370,2025-12-09,0,0,0
1370,2025-12-10,0,0,0
1370,2025-12-11,0,0,0
1370,2025-12-12,0,0,0
1370,2025-12-13,0,0,0
1370,2025-12-14,0,0,0
1370,2025-12-15,0,0,0
1370,2025-12-16,0,0,0
1370,2025-12-17,0,0,0
1370,2025-12-18,0,0,0
1370,2025-12-19,0,0,0
1370,2025-12-20,0,0,0
1370,2025-12-21,0,0,0
1371,2025-11-22,10,10,0
1371,2025-11-23,11,11,0
1371,2025-11-24,13,13,0
1371,2025-11-25,13,13,0
1371,2025-11-26,15,15,0
1371,2025-11-27,21,21,0
1371,2025-11-28,12,12,0
1371,2025-11-29,17,18,1
1371,2025-11-30,15,15,0
1371,2025-12-01,15,16,1
1371,2025-12-02,24,25,1
1371,2025-12-03,20,22,2
1371,2025-12-04,18,20,2
1371,2025-12-05,17,18,1
1371,2025-12-06,15,16,1
1371,2025-12-07,15,16,1
1371,2025-12-08,14,15,1
1371,2025-12-09,17,18,1
1371,2025-12-10,15,16,1
1371,2025-12-11,20,22,2
1371,2025-12-12,13,14,1
1371,2025-12-13,14,15,1
1371,2025-12-14,14,15,1
1371,2025-12-15,18,19,1
1371,2025-12-16,17,18,1
1371,2025-12-17,15,17,2
1371,2025-12-18,18,19,1
1371,2025-12-19,12,13,1
1371,2025-12-20,14,15,1
1371,2025-12-21,11,12,1
1402,2025-11-22,0,0,0
1402,2025-11-23,0,0,0
1402,2025-11-24,0,0,0
1402,2025-11-25,0,0,0
1402,2025-11-26,0,0,0
1402,2025-11-27,1,1,0
1402,2025-11-28,0,0,0
1402,2025-11-29,0,0,0
1402,2025-11-30,0,0,0
1402,2025-12-01,0,0,0
1402,2025-12-02,0,0,0
1402,2025-12-03,0,0,0
1402,2025-12-04,0,0,0
1402,2025-12-05,0,0,0
1402,2025-12-06,0,0,0
1402,2025-12-07,0,0,0
1402,2025-12-08,0,0,0
1402,2025-12-09,0,0,0
1402,2025-12-10,0,0,0
1402,2025-12-11,0,0,0
1402,2025-12-12,0,0,0
1402,2025-12-13,0,0,0
1402,2025-12-14,0,0,0
1402,2025-12-15,0,0,0
1402,2025-12-16,0,0,0
1402,2025-12-17,0,0,0
1402,2025-12-18,0,0,0
1402,2025-12-19,0,0,0
1402,2025-12-20,0,0,0
1402,2025-12-21,0,0,0
1460,2025-11-22,0,0,0
1460,2025-11-23,0,0,0
1460,2025-11-24,1,1,0
1460,2025-11-25,1,1,0
1460,2025-11-26,2,2,0
1460,2025-11-27,1,1,0
1460,2025-11-28,2,2,0
1460,2025-11-29,2,2,0
1460,2025-11-30,2,2,0
1460,2025-12-01,3,3,0
1460,2025-12-02,3,3,0
1460,2025-12-03,3,3,0
1460,2025-12-04,4,4,0
1460,2025-12-05,3,4,1
1460,2025-12-06,8,9,1
1460,2025-12-07,8,9,1
1460,2025-12-08,10,11,1
1460,2025-12-09,10,11,1
1460,2025-12-10,11,12,1
1460,2025-12-11,14,15,1
1460,2025-12-12,9,10,1
1460,2025-12-13,10,11,1
1460,2025-12-14,10,10,0
1460,2025-12-15,12,13,1
1460,2025-12-16,13,14,1
1460,2025-12-17,13,14,1
1460,2025-12-18,14,15,1
1460,2025-12-19,10,11,1
1460,2025-12-20,11,12,1
1460,2025-12-21,10,10,0
1494,2025-11-22,0,0,0
1494,2025-11-23,0,0,0
1494,2025-11-24,0,0,0
1494,2025-11-25,0,0,0
1494,2025-11-26,0,0,0
1494,2025-11-27,0,0,0
1494,2025-11-28,0,0,0
1494,2025-11-29,0,0,0
1494,2025-11-30,0,0,0
1494,2025-12-01,0,0,0
1494,2025-12-02,0,0,0
1494,2025-12-03,0,0,0
1494,2025-12-04,0,0,0
1494,2025-12-05,0,0,0
1494,2025-12-06,0,0,0
1494,2025-12-07,0,0,0
1494,2025-12-08,0,0,0
1494,2025-12-09,0,0,0
1494,2025-12-10,0,0,0
1494,2025-12-11,0,0,0
1494,2025-12-12,0,0,0
1494,2025-12-13,0,0,0
1494,2025-12-14,0,0,0
1494,2025-12-15,0,0,0
1494,2025-12-16,0,0,0
1494,2025-12-17,0,0,0
1494,2025-12-18,0,0,0
1494,2025-12-19,0,0,0
1494,2025-12-20,0,0,0
1494,2025-12-21,0,0,0
1496,2025-11-22,163,163,0
1496,2025-11-23,108,108,0
1496,2025-11-24,148,148,0
1496,2025-11-25,166,166,0
1496,2025-11-26,271,271,0
1496,2025-11-27,299,299,0
1496,2025-11-28,133,133,0
1496,2025-11-29,143,150,7
1496,2025-11-30,146,154,8
1496,2025-12-01,125,133,8
1496,2025-12-02,106,114,8
1496,2025-12-03,184,200,16
1496,2025-12-04,284,310,26
1496,2025-12-05,98,107,9
1496,2025-12-06,82,88,6
1496,2025-12-07,82,87,5
1496,2025-12-08,82,88,6
1496,2025-12-09,88,94,6
1496,2025-12-10,121,130,9
1496,2025-12-11,271,291,20
1496,2025-12-12,95,102,7
1496,2025-12-13,84,90,6
1496,2025-12-14,75,80,5
1496,2025-12-15,85,91,6
1496,2025-12-16,98,105,7
1496,2025-12-17,146,157,11
1496,2025-12-18,196,211,15
1496,2025-12-19,97,105,8
1496,2025-12-20,81,87,6
1496,2025-12-21,65,70,5
1524,2025-11-22,11,11,0
1524,2025-11-23,11,11,0
1524,2025-11-24,12,12,0
1524,2025-11-25,14,14,0
1524,2025-11-26,13,13,0
1524,2025-11-27,8,8,0
1524,2025-11-28,4,4,0
1524,2025-11-29,3,4,1
1524,2025-11-30,9,9,0
1524,2025-12-01,5,5,0
1524,2025-12-02,3,3,0
1524,2025-12-03,7,7,0
1524,2025-12-04,6,7,1
1524,2025-12-05,0,0,0
1524,2025-12-06,0,0,0
1524,2025-12-07,0,0,0
1524,2025-12-08,0,0,0
1524,2025-12-09,0,0,0
1524,2025-12-10,7,7,0
1524,2025-12-11,3,3,0
1524,2025-12-12,0,0,0
1524,2025-12-13,0,0,0
1524,2025-12-14,4,4,0
1524,2025-12-15,8,8,0
1524,2025-12-16,9,10,1
1524,2025-12-17,10,10,0
1524,2025-12-18,8,9,1
1524,2025-12-19,4,4,0
1524,2025-12-20,0,0,0
1524,2025-12-21,0,0,0
1553,2025-11-22,0,0,0
1553,2025-11-23,0,0,0
1553,2025-11-24,0,0,0
1553,2025-11-25,0,0,0
1553,2025-11-26,0,0,0
1553,2025-11-27,0,0,0
1553,2025-11-28,0,0,0
1553,2025-11-29,0,0,0
1553,2025-11-30,0,0,0
1553,2025-12-01,0,0,0
1553,2025-12-02,0,0,0
1553,2025-12-03,0,0,0
1553,2025-12-04,0,0,0
1553,2025-12-05,0,0,0
1553,2025-12-06,0,0,0
1553,2025-12-07,0,0,0
1553,2025-12-08,0,0,0
1553,2025-12-09,0,0,0
1553,2025-12-10,0,0,0
1553,2025-12-11,0,0,0
1553,2025-12-12,0,0,0
1553,2025-12-13,0,0,0
1553,2025-12-14,0,0,0
1553,2025-12-15,0,0,0
1553,2025-12-16,0,0,0
1553,2025-12-17,0,0,0
1553,2025-12-18,0,0,0
1553,2025-12-19,0,0,0
1553,2025-12-20,0,0,0
1553,2025-12-21,0,0,0
1572,2025-11-22,4,4,0
1572,2025-11-23,6,6,0
1572,2025-11-24,6,6,0
1572,2025-11-25,4,4,0
1572,2025-11-26,4,4,0
1572,2025-11-27,10,10,0
1572,2025-11-28,10,10,0
1572,2025-11-29,10,10,0
1572,2025-11-30,12,12,0
1572,2025-12-01,6,6,0
1572,2025-12-02,5,5,0
1572,2025-12-03,4,4,0
1572,2025-12-04,6,6,0
1572,2025-12-05,4,4,0
1572,2025-12-06,6,6,0
1572,2025-12-07,5,5,0
1572,2025-12-08,5,5,0
1572,2025-12-09,7,7,0
1572,2025-12-10,7,8,1
1572,2025-12-11,9,10,1
1572,2025-12-12,5,5,0
1572,2025-12-13,5,5,0
1572,2025-12-14,5,5,0
1572,2025-12-15,7,7,0
1572,2025-12-16,7,8,1
1572,2025-12-17,7,8,1
1572,2025-12-18,7,8,1
1572,2025-12-19,6,7,1
1572,2025-12-20,6,6,0
1572,2025-12-21,4,5,1
1629,2025-11-22,0,0,0
1629,2025-11-23,0,0,0
1629,2025-11-24,0,0,0
1629,2025-11-25,0,0,0
1629,2025-11-26,0,0,0
1629,2025-11-27,0,0,0
1629,2025-11-28,0,0,0
1629,2025-11-29,0,0,0
1629,2025-11-30,0,0,0
1629,2025-12-01,0,0,0
1629,2025-12-02,0,0,0
1629,2025-12-03,0,0,0
1629,2025-12-04,0,0,0
1629,2025-12-05,0,0,0
1629,2025-12-06,0,0,0
1629,2025-12-07,0,0,0
1629,2025-12-08,0,0,0
1629,2025-12-09,0,0,0
1629,2025-12-10,0,0,0
1629,2025-12-11,0,0,0
1629,2025-12-12,0,0,0
1629,2025-12-13,0,0,0
1629,2025-12-14,0,0,0
1629,2025-12-15,0,0,0
1629,2025-12-16,0,0,0
1629,2025-12-17,0,0,0
1629,2025-12-18,0,0,0
1629,2025-12-19,0,0,0
1629,2025-12-20,0,0,0
1629,2025-12-21,0,0,0
1638,2025-11-22,2924,2924,0
1638,2025-11-23,2658,2658,0
1638,2025-11-24,2140,2140,0
1638,2025-11-25,2332,2332,0
1638,2025-11-26,3529,3529,0
1638,2025-11-27,4190,4190,0
1638,2025-11-28,1437,1437,0
1638,2025-11-29,1181,1263,82
1638,2025-11-30,1307,1405,98
1638,2025-12-01,1272,1370,98
1638,2025-12-02,1242,1345,103
1638,2025-12-03,2300,2498,198
1638,2025-12-04,4466,4868,402
1638,2025-12-05,1671,1818,147
1638,2025-12-06,1325,1412,87
1638,2025-12-07,1233,1319,86
1638,2025-12-08,1240,1325,85
1638,2025-12-09,1389,1485,96
1638,2025-12-10,1964,2100,136
1638,2025-12-11,3590,3847,257
1638,2025-12-12,1478,1580,102
1638,2025-12-13,1251,1344,93
1638,2025-12-14,1126,1211,85
1638,2025-12-15,1245,1340,95
1638,2025-12-16,1454,1566,112
1638,2025-12-17,2087,2246,159
1638,2025-12-18,2695,2904,209
1638,2025-12-19,1050,1133,83
1638,2025-12-20,1142,1231,89
1638,2025-12-21,923,995,72
1668,2025-11-22,0,0,0
1668,2025-11-23,0,0,0
1668,2025-11-24,0,0,0
1668,2025-11-25,0,0,0
1668,2025-11-26,1,1,0
1668,2025-11-27,1,1,0
1668,2025-11-28,0,0,0
1668,2025-11-29,0,0,0
1668,2025-11-30,0,0,0
1668,2025-12-01,0,0,0
1668,2025-12-02,0,0,0
1668,2025-12-03,1,1,0
1668,2025-12-04,2,3,1
1668,2025-12-05,0,1,1
1668,2025-12-06,1,1,0
1668,2025-12-07,1,1,0
1668,2025-12-08,1,1,0
1668,2025-12-09,1,1,0
1668,2025-12-10,1,1,0
1668,2025-12-11,2,2,0
