city_code,checkin,horizon,observed,final,remaining_demand,observed_total,days_to_checkin,pickup_1d,pickup_3d,pickup_7d,pickup_14d,pickup_velocity_3d,pickup_velocity_7d,pickup_velocity_14d,pickup_acceleration_3d,pickup_acceleration_7d,pickup_1d_share,pickup_3d_share,pickup_7d_share,pickup_3d_over_7d,active_search_days,days_since_first_search,days_since_last_search,max_daily_search,mean_daily_search,std_daily_search,search_span,expected_completion_fraction,expected_remaining_fraction,pickup_baseline_prediction,pickup_baseline_remaining,pickup_surprise,checkin_weekday,is_weekend,checkin_day_of_month,jalali_month,jalali_day,province_code,lat,long,city_hist_mean,city_hist_median,city_hist_p75,city_hist_p90,city_hist_std,city_volatility,city_weekend_ratio,city_weekday_mean,market_observed_total,market_pickup_1d,market_pickup_3d,market_pickup_7d,market_pickup_14d,market_pickup_velocity_3d,market_pickup_velocity_7d,market_pickup_velocity_14d,market_pickup_acceleration_3d,market_pickup_acceleration_7d,city_share_of_market,province_observed_total,province_pickup_1d,province_pickup_3d,province_pickup_7d,province_pickup_14d,province_pickup_velocity_3d,province_pickup_velocity_7d,province_pickup_velocity_14d,province_pickup_acceleration_3d,province_pickup_acceleration_7d,city_share_of_province
3523,2024-06-01,14,1146,4905,3759,1146,14,59,219,507,717,73,72.43,51.21,-4.333,42.43,0.05148,0.1911,0.4424,0.432,44,45,0,111,26.05,25.43,45,0.2492,0.7508,4599,3453,1.146e+09,5,0,1,3,12,149,36.82,50.87,5532,4050,6857,1.162e+04,4831,0.8734,1.273,4693,1.027e+05,7615,1.964e+04,4.424e+04,6.881e+04,6545,6320,4915,33,2811,0.01115,3.125e+04,2714,6453,1.389e+04,2.12e+04,2151,1984,1514,175,938.7,0.03667
3914,2024-06-01,10,12,67,55,12,10,0,0,3,4,0,0.4286,0.2857,-1,0.2857,0,0,0.25,0,5,18,3,5,2.4,1.497,15,0.191,0.809,62.82,50.82,1.2e+07,5,0,1,3,12,987,35.95,51.49,268.1,121,276,554.2,467.9,1.745,1.75,159.3,1.326e+05,9890,2.325e+04,4.95e+04,8.626e+04,7749,7072,6161,841.7,1821,9.049e-05,1.247e+04,974,2566,4581,7553,855.3,654.4,539.5,325.7,229.9,0.0009623
4879,2024-06-01,30,0,2,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.0777,0.9223,0,0,0,5,0,1,3,12,987,35.52,51.16,13,4,15,41,20.58,1.583,1.837,11.13,2.844e+04,1764,5178,1.165e+04,1.95e+04,1726,1664,1393,109.3,541.4,0,3082,238,631,1332,2158,210.3,190.3,154.1,49,72.29,0
5951,2024-06-01,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.8555,0.1445,0,0,0,5,0,1,3,12,490,27.02,54.29,0.005479,0,0,0,0.1047,19.1,0,0.03846,2.646e+05,2.776e+04,7.335e+04,1.32e+05,1.815e+05,2.445e+04,1.885e+04,1.296e+04,8194,1.178e+04,0,2.479e+04,1460,4387,8947,1.402e+04,1462,1278,1001,224.7,553.4,0
5986,2024-06-01,18,119,1034,915,119,18,13,18,33,79,6,4.714,5.643,2.667,-1.857,0.1092,0.1513,0.2773,0.5455,22,38,0,17,5.409,3.95,38,0.1097,0.8903,1084,965.3,1.19e+08,5,0,1,3,12,987,35.69,52.05,2488,1127,2716,5041,4090,1.644,1.885,1472,7.558e+04,7251,1.707e+04,3.225e+04,5.051e+04,5690,4607,3608,1642,1999,0.001575,7351,555,1394,2578,4646,464.7,368.3,331.9,118,72.86,0.01619
6782,2024-06-01,30,1,99,98,1,30,0,0,1,1,0,0.1429,0.07143,-0.3333,0.1429,0,0,1,0,1,5,5,1,1,0,0,0.03936,0.9606,25.41,24.41,0.4025,5,0,1,3,12,754,36.88,49.49,178.9,107,198,461.4,211.4,1.182,1.795,133.6,2.844e+04,1764,5178,1.165e+04,1.95e+04,1726,1664,1393,109.3,541.4,3.516e-05,5794,360,1082,2404,4001,360.7,343.4,285.8,-3.667,115.3,0.0001726
7127,2024-06-01,5,4060,7323,3263,4060,5,539,1458,2176,2940,486,310.9,210,295,201.7,0.1328,0.3591,0.536,0.67,50,54,0,581,81.2,119.3,54,0.4897,0.5103,8290,4230,4.06e+09,5,0,1,3,12,149,36.7,52.65,6175,4286,7735,1.347e+04,5834,0.9447,1.2,5259,2.122e+05,2.1e+04,5.73e+04,9.728e+04,1.439e+05,1.91e+04,1.39e+04,1.028e+04,8361,7232,0.01913,7.203e+04,7550,2.201e+04,3.68e+04,5.165e+04,7335,5258,3689,3259,3136,0.05637
7613,2024-06-01,30,1,11,10,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,26,1,1,0,0,0.06825,0.9317,14.65,13.65,1.253,5,0,1,3,12,754,37.04,50.41,21.33,12,23,48.6,27.75,1.301,1.193,17.56,2.844e+04,1764,5178,1.165e+04,1.95e+04,1726,1664,1393,109.3,541.4,3.516e-05,5794,360,1082,2404,4001,360.7,343.4,285.8,-3.667,115.3,0.0001726
8715,2024-06-01,10,483,1235,752,483,10,36,41,149,298,13.67,21.29,21.29,-15,0,0.07453,0.08489,0.3085,0.2752,38,47,0,57,12.71,12.11,47,0.4573,0.5427,1056,573.2,4.83e+08,5,0,1,3,12,490,27.18,56.28,2748,1624,2649,4636,4000,1.456,0.9788,2562,1.326e+05,9890,2.325e+04,4.95e+04,8.626e+04,7749,7072,6161,841.7,1821,0.003642,1.584e+04,864,2145,5073,9416,715,724.7,672.6,-42.33,104.3,0.03049
8789,2024-06-01,7,6,14,8,6,7,0,3,5,5,1,0.7143,0.3571,0.3333,0.7143,0,0.5,0.8333,0.6,5,15,1,2,1.2,0.4,14,0.4384,0.5616,13.68,7.685,13.19,5,0,1,3,12,424,32.7,51.1,6.4,2,6,14.6,13.65,2.133,1.032,5.596,1.716e+05,1.662e+04,3.896e+04,6.882e+04,1.131e+05,1.298e+04,9832,8076,5236,3511,3.497e-05,1.137e+04,968,2189,4352,7065,729.7,621.7,504.6,151.3,234.1,0.0005278
1782,2024-06-02,14,6,9,3,6,14,0,0,0,2,0,0,0.1429,0,-0.2857,0,0,0,0,3,33,9,2,2,0,24,0.2541,0.7459,23.61,17.61,3.806,6,0,2,3,13,424,33.68,55.01,21.59,9,19,41,45.07,2.088,1.169,18.85,1.322e+05,8814,2.652e+04,5.651e+04,8.831e+04,8842,8073,6308,802.3,3530,4.539e-05,9079,692,1839,3615,5991,613,516.4,427.9,158.3,177,0.0006609
1895,2024-06-02,30,11,221,210,11,30,10,10,10,10,3.333,1.429,0.7143,3.333,1.429,0.9091,0.9091,0.9091,1,2,23,0,10,5.5,4.5,23,0.04535,0.9547,242.6,231.6,6.221,6,0,2,3,13,424,33.5,51.92,69.5,31,61,132,119.4,1.717,1.551,46.17,3.574e+04,2678,6524,1.415e+04,2.389e+04,2175,2021,1706,327.7,630,0.0003078,2533,186,419,998,1724,139.7,142.6,123.1,-22.67,38.86,0.004343
2406,2024-06-02,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.3067,0.6933,0,0,0,6,0,2,3,13,987,35.49,51.14,1.09,1,1,3,1.632,1.497,1.53,0.8654,1.7e+05,1.108e+04,3.11e+04,6.433e+04,1.116e+05,1.037e+04,9190,7971,2065,2439,0,1.495e+04,1008,2992,5669,9375,997.3,809.9,669.6,369,280.4,0
2992,2024-06-02,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.06466,0.9353,0,0,0,6,0,2,3,13,149,36.64,52.63,0.789,0,1,3,1.428,1.81,1.107,0.5962,3.574e+04,2678,6524,1.415e+04,2.389e+04,2175,2021,1706,327.7,630,0,1.088e+04,834,2266,4514,7366,755.3,644.9,526.1,190.3,237.4,0
3456,2024-06-02,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.677,0.323,0,0,0,6,0,2,3,13,289,35.26,57.97,4.036,3,6,10.6,4.586,1.136,1.014,3.346,2.841e+05,2.89e+04,7.841e+04,1.363e+05,1.939e+05,2.614e+04,1.947e+04,1.385e+04,1.054e+04,1.124e+04,0,3.321e+04,2133,6435,1.2e+04,2.051e+04,2145,1714,1465,685.7,497.1,0
4078,2024-06-02,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.3659,0.6341,0,0,0,6,0,2,3,13,289,36.14,59.03,0.005479,0,0,0,0.1047,19.1,0,0,1.322e+05,8814,2.652e+04,5.651e+04,8.831e+04,8842,8073,6308,802.3,3530,0,1.969e+04,1108,3786,9502,1.349e+04,1262,1357,963.7,-438.7,787.4,0
5171,2024-06-02,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.533,0.467,0,0,0,6,0,2,3,13,424,32.85,51.74,0.005479,0,0,0,0.1047,19.1,0,0,2.841e+05,2.89e+04,7.841e+04,1.363e+05,1.939e+05,2.614e+04,1.947e+04,1.385e+04,1.054e+04,1.124e+04,0,2.026e+04,2263,6074,1.002e+04,1.389e+04,2025,1432,992,977.7,879.7,0
5683,2024-06-02,5,2,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,17,2,2,0,0,0.533,0.467,3.753,1.753,3.147,6,0,2,3,13,424,32.6,51.55,4.786,4,7,12,5.484,1.146,1.047,4.75,2.841e+05,2.89e+04,7.841e+04,1.363e+05,1.939e+05,2.614e+04,1.947e+04,1.385e+04,1.054e+04,1.124e+04,7.039e-06,2.026e+04,2263,6074,1.002e+04,1.389e+04,2025,1432,992,977.7,879.7,9.869e-05
7029,2024-06-02,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.2831,0.7169,0,0,0,6,0,2,3,13,289,36.14,59.11,0.005479,0,0,0,0.1047,19.1,0,0,9.887e+04,8683,2.319e+04,4.377e+04,6.79e+04,7729,6253,4850,1972,2805,0,1.458e+04,1884,4392,6741,1.007e+04,1464,963,719.3,806.3,487.4,0
8913,2024-06-02,30,8,230,222,8,30,0,0,8,8,0,1.143,0.5714,-2.667,1.143,0,0,1,0,1,3,3,8,8,0,0,0.03478,0.9652,230,222,3.175,6,0,2,3,13,149,36.11,53.06,165.8,96,163,408.4,211.9,1.278,1.808,100.6,3.574e+04,2678,6524,1.415e+04,2.389e+04,2175,2021,1706,327.7,630,0.0002238,1.088e+04,834,2266,4514,7366,755.3,644.9,526.1,190.3,237.4,0.000735
9600,2024-06-02,1,18,26,8,18,1,0,5,10,13,1.667,1.429,0.9286,1.333,1,0,0.2778,0.5556,0.5,9,48,1,5,2,1.491,47,0.9462,0.05382,19.02,1.024,1.8e+07,6,0,2,3,13,289,34.35,58.69,25.38,17,27,49.2,28.04,1.105,1.213,21.98,4.49e+05,5.486e+04,1.325e+05,2.433e+05,3.257e+05,4.418e+04,3.476e+04,2.326e+04,1.526e+04,2.3e+04,4.009e-05,4.49e+04,2987,8958,1.813e+04,2.632e+04,2986,2590,1880,585,1420,0.0004009
9647,2024-06-02,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.533,0.467,0,0,0,6,0,2,3,13,424,33.08,50.16,0.02192,0,0,0,0.1802,8.223,1.486,0.01923,2.841e+05,2.89e+04,7.841e+04,1.363e+05,1.939e+05,2.614e+04,1.947e+04,1.385e+04,1.054e+04,1.124e+04,0,2.026e+04,2263,6074,1.002e+04,1.389e+04,2025,1432,992,977.7,879.7,0
3109,2024-06-03,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.677,0.323,0,0,0,0,0,3,3,14,289,35.59,58.88,0.005479,0,0,0,0.1047,19.1,0,0,4.636e+05,5.142e+04,1.361e+05,2.423e+05,3.253e+05,4.538e+04,3.461e+04,2.323e+04,1.53e+04,2.276e+04,0,4.277e+04,3250,8421,1.609e+04,2.472e+04,2807,2299,1766,753.7,1065,0
3364,2024-06-03,10,13,101,88,13,10,2,2,7,11,0.6667,1,0.7857,0,0.4286,0.1538,0.1538,0.5385,0.2857,6,16,0,3,2.167,0.3727,16,0.2354,0.7646,55.21,42.21,7.393,0,0,3,3,14,929,36.03,51.17,24.55,14,27,53.6,34.84,1.419,1.767,19.52,2.593e+05,2.208e+04,5.342e+04,1.009e+05,1.707e+05,1.781e+04,1.442e+04,1.219e+04,6494,4448,5.014e-05,1.845e+04,1930,5142,8764,1.336e+04,1714,1252,954.6,870.3,594.9,0.0007047
4247,2024-06-03,25,8,178,170,8,25,0,0,3,4,0,0.4286,0.2857,-1,0.2857,0,0,0.375,0,3,33,5,4,2.667,1.247,28,0.07471,0.9253,107.1,99.08,7.174,0,0,3,3,14,149,36.2,51.81,42.67,17,48,109.6,65.48,1.535,1.657,29.23,8.075e+04,4771,1.549e+04,3.602e+04,5.426e+04,5163,5146,3876,-507,2540,9.907e-05,2.451e+04,1545,4921,1.121e+04,1.688e+04,1640,1601,1205,-83,791,0.0003264
4404,2024-06-03,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.1202,0.8798,0,0,0,0,0,3,3,14,289,34.98,59.62,0.005479,0,0,0,0.1047,19.1,0,0,5.361e+04,5359,1.142e+04,2.201e+04,3.61e+04,3808,3144,2579,1243,1130,0,7110,648,1406,2836,4758,468.7,405.1,339.9,85.67,130.6,0
5802,2024-06-03,3,206,427,221,206,3,20,62,111,152,20.67,15.86,10.86,7,10,0.09709,0.301,0.5388,0.5586,23,51,0,28,8.957,6.676,51,0.6161,0.3839,334.4,128.4,20.9,0,0,3,3,14,149,36.68,51.33,217.3,152,265,463.2,212.3,0.977,1.224,192.5,5.985e+05,7.919e+04,1.863e+05,3.392e+05,4.401e+05,6.21e+04,4.846e+04,3.144e+04,2.138e+04,3.404e+04,0.0003442,2.056e+05,2.736e+04,6.583e+04,1.22e+05,1.563e+05,2.194e+04,1.742e+04,1.116e+04,6966,1.252e+04,0.001002
5947,2024-06-03,21,82,708,626,82,21,7,20,41,60,6.667,5.857,4.286,-0.3333,3.143,0.08537,0.2439,0.5,0.4878,19,37,0,9,4.316,2.696,37,0.1519,0.8481,539.7,457.7,15.97,0,0,3,3,14,754,37.09,50.19,283.4,188,325,613.2,314.8,1.111,1.193,247.2,1.155e+05,8847,2.696e+04,5.026e+04,7.848e+04,8988,7181,5606,2964,3149,0.0007098,2.536e+04,2029,6162,1.128e+04,1.708e+04,2054,1612,1220,672.7,783.7,0.003234
6268,2024-06-03,3,5312,9278,3966,5312,3,658,1604,3119,3967,534.7,445.6,283.4,156,324.4,0.1239,0.302,0.5872,0.5143,56,56,0,658,94.86,143.4,56,0.6368,0.3632,8342,3030,5.312e+09,0,0,3,3,14,149,36.67,51.29,3834,2923,4801,7660,3268,0.8524,1.267,3193,5.985e+05,7.919e+04,1.863e+05,3.392e+05,4.401e+05,6.21e+04,4.846e+04,3.144e+04,2.138e+04,3.404e+04,0.008876,2.056e+05,2.736e+04,6.583e+04,1.22e+05,1.563e+05,2.194e+04,1.742e+04,1.116e+04,6966,1.252e+04,0.02584
6782,2024-06-03,21,52,533,481,52,21,1,12,28,36,4,4,2.571,-1.333,2.857,0.01923,0.2308,0.5385,0.4286,13,28,0,12,4,2.855,28,0.08179,0.9182,635.8,583.8,16.45,0,0,3,3,14,754,36.88,49.49,178.9,107,198,461.4,211.4,1.182,1.795,121.6,1.155e+05,8847,2.696e+04,5.026e+04,7.848e+04,8988,7181,5606,2964,3149,0.0004501,2.536e+04,2029,6162,1.128e+04,1.708e+04,2054,1612,1220,672.7,783.7,0.002051
8837,2024-06-03,18,37,441,404,37,18,4,7,16,32,2.333,2.286,2.286,-0.6667,0,0.1081,0.1892,0.4324,0.4375,14,27,0,8,2.643,1.913,27,0.1564,0.8436,236.6,199.6,5.287,0,0,3,3,14,149,36.85,50.79,208.3,161,259,428,177.5,0.8521,1.08,191.1,1.469e+05,8528,3.134e+04,6.612e+04,1.021e+05,1.045e+04,9445,7295,1459,4300,0.0002519,4.588e+04,2840,9827,2.137e+04,3.257e+04,3276,3052,2327,276,1451,0.0008065
9091,2024-06-03,21,45,776,731,45,21,7,10,16,33,3.333,2.286,2.357,1.333,-0.1429,0.1556,0.2222,0.3556,0.625,17,35,0,7,2.647,1.813,35,0.1214,0.8786,370.7,325.7,10.11,0,0,3,3,14,754,36.88,49.91,337.1,214,469,793,361.1,1.071,1.431,258.2,1.155e+05,8847,2.696e+04,5.026e+04,7.848e+04,8988,7181,5606,2964,3149,0.0003895,2.536e+04,2029,6162,1.128e+04,1.708e+04,2054,1612,1220,672.7,783.7,0.001775
9581,2024-06-03,14,42,158,116,42,14,18,18,25,27,6,3.571,1.929,5,3.286,0.4286,0.4286,0.5952,0.72,8,37,0,18,5.25,5.517,37,0.2784,0.7216,150.9,108.9,9.39,0,0,3,3,14,149,36.88,50.72,98.33,66,127,215.2,98.8,1.005,1.032,92.12,1.938e+05,9338,3.543e+04,7.826e+04,1.285e+05,1.181e+04,1.118e+04,9180,1410,3999,0.0002167,6.059e+04,2943,1.124e+04,2.454e+04,4.1e+04,3746,3505,2928,404,1154,0.0006932
1053,2024-06-04,21,159,1670,1511,159,21,19,54,112,123,18,16,8.786,-0.3333,14.43,0.1195,0.3396,0.7044,0.4821,21,36,0,20,7.571,7.061,36,0.09576,0.9042,1660,1501,6.184,1,0,4,3,15,149,36.72,51.12,1030,704,1279,2322,950.2,0.9222,1.243,958.9,9.779e+04,8425,2.218e+04,4.222e+04,6.604e+04,7392,6031,4717,2057,2628,0.001626,3.028e+04,2336,7082,1.392e+04,2.125e+04,2361,1989,1518,530.7,943,0.00525
1299,2024-06-04,3,848,1193,345,848,3,150,357,624,745,119,89.14,53.21,49.67,71.86,0.1769,0.421,0.7358,0.5721,28,51,0,150,30.29,40.07,51,0.5945,0.4055,1426,578.5,8.48e+08,1,0,4,3,15,424,32.38,51.19,803,455,863,1795,1004,1.25,1.989,629.1,4.608e+05,5.744e+04,1.342e+05,2.457e+05,3.295e+05,4.472e+04,3.51e+04,2.354e+04,1.608e+04,2.313e+04,0.00184,3.86e+04,4544,1.063e+04,2.028e+04,2.744e+04,3544,2897,1960,1031,1875,0.02197
2136,2024-06-04,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.8555,0.1445,0,0,0,1,0,4,3,15,490,27.22,53.04,0.005479,0,0,0,0.1047,19.1,0,0,4.608e+05,5.744e+04,1.342e+05,2.457e+05,3.295e+05,4.472e+04,3.51e+04,2.354e+04,1.608e+04,2.313e+04,0,3.578e+04,1866,5029,1.215e+04,1.943e+04,1676,1736,1388,-112,695.4,0
3042,2024-06-04,14,73,279,206,73,14,4,15,41,61,5,5.857,4.357,1,3,0.05479,0.2055,0.5616,0.3659,17,43,0,14,4.294,3.706,43,0.2003,0.7997,364.4,291.4,15,1,0,4,3,15,424,33.45,50.28,152.1,79,149,361,217.2,1.428,1.339,149.2,1.561e+05,8970,2.483e+04,5.83e+04,1.005e+05,8277,8329,7180,-140,2298,0.0004677,1.301e+04,800,1851,4517,8074,617,645.3,576.7,-69.67,137.1,0.005609
4404,2024-06-04,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.1202,0.8798,0,0,0,1,0,4,3,15,289,34.98,59.62,0.005479,0,0,0,0.1047,19.1,0,0,4.764e+04,4934,1.156e+04,2.013e+04,3.24e+04,3852,2876,2315,1683,1123,0,6500,632,1531,2727,4405,510.3,389.6,314.6,208.3,149.9,0
5752,2024-06-04,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.2831,0.7169,0,0,0,1,0,4,3,15,289,36.3,58.46,0.005479,0,0,0,0.1047,19.1,0,0,1.214e+05,8867,2.357e+04,5.239e+04,8.266e+04,7857,7484,5904,464.7,3160,0,1.802e+04,1381,4560,8943,1.266e+04,1520,1278,903.9,294,747.3,0
7201,2024-06-04,1,2047,2244,197,2047,1,267,743,1228,1625,247.7,175.4,116.1,117.7,118.7,0.1304,0.363,0.5999,0.605,47,56,0,283,43.55,65.87,56,0.9063,0.0937,2259,211.6,2.047e+09,1,0,4,3,15,754,37.25,50.25,896.9,584,1074,1968,967,1.078,1.185,870.3,5.995e+05,7.039e+04,1.961e+05,3.322e+05,4.523e+05,6.538e+04,4.745e+04,3.231e+04,2.952e+04,3.028e+04,0.003415,1.459e+05,1.648e+04,4.741e+04,8.273e+04,1.129e+05,1.58e+04,1.182e+04,8064,6308,7509,0.01403
8216,2024-06-04,21,0,30,30,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.13,0.87,0,0,0,1,0,4,3,15,754,37.37,49.76,60.56,33,60,135.2,82.4,1.361,1.185,59.19,9.779e+04,8425,2.218e+04,4.222e+04,6.604e+04,7392,6031,4717,2057,2628,0,2.163e+04,1966,5098,9695,1.482e+04,1699,1385,1059,486,652.1,0
8682,2024-06-04,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0.4472,0.5528,0,0,0,1,0,4,3,15,490,25.85,54.65,0.005479,0,0,0,0.1047,19.1,0,0,1.561e+05,8970,2.483e+04,5.83e+04,1.005e+05,8277,8329,7180,-140,2298,0,1.901e+04,776,2655,5970,1.086e+04,885,852.9,775.4,-4.333,155,0
