city_code,city,cluster_code,province_code,train_window_searches,province,n_cities_in_cluster
4235,siahkal,4235,754,563733.0,gilan,1
4247,baladeh,4247,149,26220.0,mazandaran,1
4252,sowmeeh_sara,4252,754,261608.0,gilan,1
4324,savadkuh,4324,149,4501305.0,mazandaran,1
4353,jask,4353,490,8581.0,hormozgan,1
4380,meshkindasht,4380,929,7391.0,alborz,1
4396,tonkaman,4396,929,1098.0,alborz,1
4397,aran_va_bidgol,4397,424,20050.0,isfahan,1
4404,rashtkhar,4404,289,2.0,khorasan_razavi,1
4419,nishapur,4419,289,282448.0,khorasan_razavi,1
4516,bandar_charak,4516,490,11041.0,hormozgan,1
4541,ahmadsargoorab,4541,754,2641.0,gilan,1
4609,chaharbagh,4609,929,409752.0,alborz,1
4611,tous,4611,289,5999.0,khorasan_razavi,1
4655,motelghoo,4655,149,5489632.0,mazandaran,1
4684,komeshcheh,4684,424,2.0,isfahan,1
4729,baghershahr,4729,987,2.0,tehran,1
4756,royan,4756,149,838348.0,mazandaran,1
4791,fuman,4791,754,2405470.0,gilan,1
4797,chahardangeh,4797,987,3.0,tehran,1
4820,kashmar,4820,289,16473.0,khorasan_razavi,1
4879,golestan,4879,987,7433.0,tehran,1
4933,ataghor,4933,754,14464.0,gilan,1
4946,tiran,4946,424,4952.0,isfahan,1
4973,garmdarreh,4973,929,33520.0,alborz,1
4981,fasham,4981,987,499237.0,tehran,1
4994,zibashahr,4994,424,2.0,isfahan,1
4995,qeshm,4995,490,20395855.0,hormozgan,1
4998,vanak,4998,424,2.0,isfahan,1
5163,sorak,5163,149,2172.0,mazandaran,1
5171,shapoorabad,5171,424,2.0,isfahan,1
5241,mobarakeh,5241,424,2.0,isfahan,1
5244,hashtgerd,5244,929,102106.0,alborz,1
5262,koohsar,5262,929,78845.0,alborz,1
5265,khomeinishahr,5265,424,14354.0,isfahan,1
5270,larijan,5270,754,10533.0,gilan,1
5297,talesh,5297,754,1868602.0,gilan,1
5303,molkabad,5303,289,4.0,khorasan_razavi,1
5309,golbahar,5309,289,7726.0,khorasan_razavi,1
5383,sedehlenjan,5383,424,2.0,isfahan,1
5410,pul,5410,149,1042.0,mazandaran,1
5413,masal,5413,754,9559857.0,gilan,1
5414,babol,5414,149,1072036.0,mazandaran,1
5434,shahinshahr,5434,424,77084.0,isfahan,1
5506,kalat,5506,289,48471.0,khorasan_razavi,1
5529,jowzdan,5529,424,229.0,isfahan,1
5640,kelardasht,5640,149,2732604.0,mazandaran,1
5657,mahdasht_albrz,5657,929,71179.0,alborz,1
5683,dorche,5683,424,3316.0,isfahan,1
5686,gazanak,5686,149,2.0,mazandaran,1
5720,shandiz,5720,289,140251.0,khorasan_razavi,1
5752,hemmatabad,5752,289,2.0,khorasan_razavi,1
5762,taybad,5762,289,2.0,khorasan_razavi,1
5799,minab,5799,490,254.0,hormozgan,1
5802,hachirood,5802,149,139164.0,mazandaran,1
5818,ghamsar_isfahan,5818,424,84513.0,isfahan,1
5842,ghods,5842,987,18687.0,tehran,1
5850,baharanshahr,5850,424,2.0,isfahan,1
5927,asalem,5927,754,1188841.0,gilan,1
5933,charak,5933,490,8285.0,hormozgan,1
5936,khoramabad,5936,149,138268.0,mazandaran,1
5947,amlash,5947,754,179644.0,gilan,1
5951,jenah,5951,490,2.0,hormozgan,1
5986,damavand,5986,987,1625145.0,tehran,1
6037,eslamshahr,6037,987,63146.0,tehran,1
6081,khaf,6081,289,5139.0,khorasan_razavi,1
6093,qaemshahr,6093,149,544325.0,mazandaran,1
6095,khvansar,6095,424,190310.0,isfahan,1
6126,habibabad,6126,424,2.0,isfahan,1
6179,ferdosieh,6179,987,2303.0,tehran,1
6197,anarak,6197,424,1280.0,isfahan,1
6235,hasanabad_esf,6235,424,502.0,isfahan,1
6248,sorkhrud,6248,149,1923314.0,mazandaran,1
6249,shahreza,6249,424,38155.0,isfahan,1
6261,abali,6261,987,49724.0,tehran,1
6268,namak_abrud,6268,149,2668831.0,mazandaran,1
6287,parand,6287,987,68269.0,tehran,1
6379,bejestan,6379,289,2.0,khorasan_razavi,1
6397,sardasht_hormozgan,6397,490,1624.0,hormozgan,1
6418,dizin,6418,987,85223.0,tehran,1
6430,chenaran,6430,289,10189.0,khorasan_razavi,1
6473,robatsang,6473,289,2.0,khorasan_razavi,1
6507,rankoh,6507,754,8517.0,gilan,1
6520,hormuz_islan,6520,490,2007489.0,hormozgan,1
6553,daran,6553,424,6420.0,isfahan,1
6563,sabashahr,6563,987,3770.0,tehran,1
6593,majlesi,6593,424,136.0,isfahan,1
6603,varnamkhast,6603,424,2.0,isfahan,1
6613,rodboneh,6613,754,10540.0,gilan,1
6662,varamin,6662,987,104708.0,tehran,1
6692,ghadamgah,6692,289,2.0,khorasan_razavi,1
6720,semirom,6720,424,89374.0,isfahan,1
6728,khoshrodpey,6728,149,409.0,mazandaran,1
6733,koochesfehan,6733,754,104344.0,gilan,1
6738,sargaz,6738,490,2.0,hormozgan,1
6752,marzanabad,6752,149,182565.0,mazandaran,1
6753,nain,6753,424,43690.0,isfahan,1
6782,rostamabad,6782,754,111544.0,gilan,1
6862,tootekabon,6862,754,72314.0,gilan,1
6886,sari,6886,149,2642812.0,mazandaran,1
6888,jandagh,6888,424,2.0,isfahan,1
6912,toodeshk,6912,424,102.0,isfahan,1
6930,juybar,6930,149,27315.0,mazandaran,1
6986,aboozeidabad,6986,424,25690.0,isfahan,1
7008,neka,7008,149,65590.0,mazandaran,1
7029,darrood,7029,289,2.0,khorasan_razavi,1
7039,najafabad,7039,424,206155.0,isfahan,1
7040,nooshabad,7040,424,3092.0,isfahan,1
7049,astaneh_ye_ashrafiyeh,7049,754,141809.0,gilan,1
7058,kalachay,7058,754,115275.0,gilan,1
7127,babolsar,7127,149,4406734.0,mazandaran,1
7154,pirbakran,7154,424,2.0,isfahan,1
7201,chamkhaleh,7201,754,660917.0,gilan,1
7221,fereydunkenar,7221,149,1200748.0,mazandaran,1
7222,malard,7222,987,262096.0,tehran,1
7228,zirab,7228,149,149394.0,mazandaran,1
7252,shahrak_e_daryakenar,7252,149,168249.0,mazandaran,1
7256,kushkenar,7256,490,2.0,hormozgan,1
7274,shirgah,7274,149,2971817.0,mazandaran,1
7278,galugah,7278,149,62787.0,mazandaran,1
7280,barzok,7280,424,10925.0,isfahan,1
7285,baghbahadoran,7285,424,18037.0,isfahan,1
7339,rasht,7339,754,16567124.0,gilan,1
7366,havigh,7366,754,14636.0,gilan,1
7399,hengam,7399,490,378306.0,hormozgan,1
7401,vahidieh,7401,987,2369.0,tehran,1
7412,javaherdeh,7412,149,776040.0,mazandaran,1
7416,varzaneh,7416,424,23726.0,isfahan,1
7432,mashhad_ardahal,7432,424,836.0,isfahan,1
7458,bazarjome,7458,754,1909.0,gilan,1
7515,nasimshahr,7515,987,2.0,tehran,1
7562,shaft,7562,754,510594.0,gilan,1
7599,binalood,7599,289,577.0,khorasan_razavi,1
7613,vajargah,7613,754,15252.0,gilan,1
7619,isfahan,7619,424,10663577.0,isfahan,1
7634,meymeh,7634,424,2150.0,isfahan,1
7651,rezvanshahr,7651,754,352466.0,gilan,1
7766,fardis,7766,929,96915.0,alborz,1
7810,nowshahr,7810,149,7393172.0,mazandaran,1
7888,khorzough,7888,424,2.0,isfahan,1
7896,ahmadabade_mostowfi,7896,987,36058.0,tehran,1
7963,fariman,7963,289,2377.0,khorasan_razavi,1
7992,dolatabad_isfahan,7992,424,2356.0,isfahan,1
8008,marjaghal,8008,754,2.0,gilan,1
8043,nashtarud,8043,149,401355.0,mazandaran,1
8122,looleman,8122,754,9946.0,gilan,1
8139,chalandar,8139,149,34060.0,mazandaran,1
8143,ghahderijan,8143,424,2.0,isfahan,1
8216,khoshke_bijar,8216,754,34895.0,gilan,1
8234,salehabad_teh,8234,987,164.0,tehran,1
8270,baghestan,8270,987,21261.0,tehran,1
8271,kiashahr,8271,754,194122.0,gilan,1
8304,firuzkuh,8304,987,500189.0,tehran,1
8375,zibakenar,8375,754,425496.0,gilan,1
8377,ghasemabad,8377,289,2.0,khorasan_razavi,1
8428,kamalshahr,8428,929,5247.0,alborz,1
8445,pakdasht,8445,987,60930.0,tehran,1
8503,dastjerd,8503,424,144.0,isfahan,1
8504,pishva,8504,987,2.0,tehran,1
8545,mahmudabad,8545,149,3627217.0,mazandaran,1
8592,segzi,8592,424,2.0,isfahan,1
8593,josheghankamo,8593,424,2.0,isfahan,1
8619,goldasht,8619,424,3504.0,isfahan,1
8628,fereydoon_shahr,8628,424,17142.0,isfahan,1
8656,mohammadabad_esf,8656,424,83.0,isfahan,1
8682,sirri,8682,490,2.0,hormozgan,1
8695,abyaneh,8695,424,86014.0,isfahan,1
8699,kahrizak,8699,987,2.0,tehran,1
8715,bandar_abbas,8715,490,1917424.0,hormozgan,1
8728,chali,8728,149,2.0,mazandaran,1
8738,mohammadshahr_albrz,8738,929,21471.0,alborz,1
8789,rezvan_shahr,8789,424,6125.0,isfahan,1
8837,shiroud,8837,149,133484.0,mazandaran,1
8838,rudsar,8838,754,694383.0,gilan,1
8840,khezer_shahr,8840,149,128566.0,mazandaran,1
8856,lavasan,8856,987,1058219.0,tehran,1
8913,polsefid,8913,149,101001.0,mazandaran,1
8930,khoorasgan,8930,424,2.0,isfahan,1
8957,khaledabad,8957,424,201.0,isfahan,1
8978,ramsar,8978,149,26953082.0,mazandaran,1
8979,chamestan,8979,149,677427.0,mazandaran,1
8999,kashan,8999,424,3313958.0,isfahan,1
9059,karaj,9059,929,1988958.0,alborz,1
9062,jirandeh,9062,754,2.0,gilan,1
9063,parehsar,9063,754,154509.0,gilan,1
9076,torbat_e_jam,9076,289,4.0,khorasan_razavi,1
9077,shemshak,9077,987,181530.0,tehran,1
9091,deylaman,9091,754,212026.0,gilan,1
9150,sabzevar,9150,289,80040.0,khorasan_razavi,1
9220,khamir,9220,490,13535.0,hormozgan,1
9221,bandarjask,9221,490,2.0,hormozgan,1
9308,salehabad_khzr,9308,289,8.0,khorasan_razavi,1
9356,mashhad,9356,289,24147932.0,khorasan_razavi,1
9508,rostamkola,9508,149,11833.0,mazandaran,1
9547,kordan,9547,929,13813948.0,alborz,1
9581,ketalem,9581,149,67088.0,mazandaran,1
9600,gonabad,9600,289,17523.0,khorasan_razavi,1
9647,buin_va_miandasht,9647,424,13.0,isfahan,1
9681,golsar,9681,929,6987.0,alborz,1
9704,hasanabad_teh,9704,987,3517.0,tehran,1
9749,imanshahr,9749,424,391.0,isfahan,1
9767,kong,9767,490,2.0,hormozgan,1
9770,chalus,9770,149,8506528.0,mazandaran,1
9806,torghabeh,9806,289,92945.0,khorasan_razavi,1
9814,bandar_anzali,9814,754,10995735.0,gilan,1
9879,chaboksar,9879,754,827917.0,gilan,1
9880,chadegan,9880,424,331345.0,isfahan,1
9899,absard,9899,987,79605.0,tehran,1
9936,mashhadrize,9936,289,2.0,khorasan_razavi,1
9951,rudbar,9951,754,529238.0,gilan,1
